0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,278,31,68,61,272,91,247,121,319,151,116,181,56
2,88,32,54,62,277,92,116,122,77,152,145,182,256
3,292,33,490,63,52,93,418,123,341,153,213,183,130
4,568,34,86,64,277,94,149,124,132,154,301,184,145
5,84,35,519,65,177,95,308,125,269,155,374,185,160
6,461,36,438,66,145,96,208,126,147,156,311,186,9
7,481,37,203,67,157,97,65,127,189,157,8,187,611
8,521,38,110,68,127,98,133,128,269,158,410,188,514
9,356,39,315,69,565,99,382,129,144,159,325,,
10,73,40,186,70,175,100,178,130,132,160,343,,
11,212,41,406,71,290,101,372,131,333,161,120,,
12,98,42,197,72,404,102,117,132,112,162,359,,
13,557,43,335,73,212,103,507,133,317,163,321,,
14,109,44,405,74,50,104,188,134,418,164,24,,
15,98,45,135,75,123,105,238,135,369,165,100,,
16,440,46,110,76,292,106,174,136,368,166,430,,
17,170,47,186,77,371,107,236,137,74,167,220,,
18,230,48,380,78,150,108,165,138,262,168,548,,
19,50,49,414,79,552,109,203,139,438,169,80,,
20,463,50,376,80,305,110,559,140,126,170,253,,
21,173,51,309,81,110,111,149,141,65,171,90,,
22,66,52,137,82,220,112,52,142,126,172,136,,
23,676,53,414,83,87,113,274,143,477,173,343,,
24,105,54,85,84,17,114,175,144,212,174,251,,
25,119,55,200,85,178,115,139,145,248,175,423,,
26,340,56,220,86,85,116,57,146,355,176,292,,
27,382,57,251,87,619,117,208,147,106,177,329,,
28,121,58,19,88,132,118,440,148,162,178,212,,
29,218,59,196,89,269,119,60,149,237,179,521,,
30,116,60,113,90,111,120,424,150,109,180,96,,
