0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
O,VYTILLA,ERNAKULAM,"KERALA,","ERNAKULAM/MOOVATTUPUZHA,",KERALA,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,
1,45,31,64,61,342,91,214,121,406,151,91,181,135,211,381,241,332,271,88,,,,,,,,
2,129,32,589,62,199,92,54,122,66,152,132,182,400,212,112,242,150,272,244,,,,,,,,
3,141,33,296,63,237,93,85,123,74,153,120,183,468,213,186,243,75,273,274,,,,,,,,
4,175,34,238,64,178,94,536,124,400,154,218,184,157,214,336,244,154,274,296,,,,,,,,
5,512,35,60,65,88,95,496,125,646,155,214,185,503,215,175,245,430,275,193,,,,,,,,
6,338,36,519,66,135,96,122,126,31,156,61,186,445,216,88,246,163,276,158,,,,,,,,
7,202,37,180,67,227,97,109,127,56,157,35,187,139,217,127,247,150,277,200,,,,,,,,
8,272,38,81,68,76,98,301,128,278,158,50,188,148,218,95,248,329,278,162,,,,,,,,
9,207,39,310,69,523,99,467,129,82,159,89,189,482,219,143,249,313,279,125,,,,,,,,
10,301,40,660,70,431,100,147,130,131,160,56,190,46,220,150,250,169,280,111,,,,,,,,
11,457,41,290,71,650,101,70,131,287,161,110,191,413,221,40,251,482,281,2,,,,,,,,
12,53,42,464,72,545,102,163,132,139,162,153,192,192,222,102,252,652,282,244,,,,,,,,
13,125,43,631,73,240,103,41,133,80,163,151,193,246,223,185,253,133,283,188,,,,,,,,
14,492,44,342,74,73,104,138,134,163,164,653,194,330,224,154,254,388,284,257,,,,,,,,
15,70,45,130,75,195,105,581,135,163,165,491,195,623,225,317,255,134,285,162,,,,,,,,
16,145,46,59,76,78,106,390,136,210,166,300,196,100,226,57,256,191,286,138,,,,,,,,
17,60,47,318,77,207,107,357,137,267,167,66,197,240,227,266,257,146,287,629,,,,,,,,
18,45,48,295,78,116,108,95,138,102,168,155,198,451,228,50,258,354,288,88,,,,,,,,
19,457,49,226,79,76,109,183,139,118,169,318,199,104,229,126,259,507,289,115,,,,,,,,
20,433,50,84,80,70,110,155,140,136,170,434,200,289,230,432,260,81,290,281,,,,,,,,
21,201,51,655,81,101,111,620,141,173,171,91,201,405,231,165,261,86,291,314,,,,,,,,
22,660,52,59,82,105,112,192,142,56,172,90,202,291,232,137,262,114,292,265,,,,,,,,
23,168,53,408,83,425,113,393,143,130,173,355,203,190,233,415,263,399,293,383,,,,,,,,
24,96,54,80,84,193,114,55,144,80,174,348,204,446,234,120,264,140,294,306,,,,,,,,
25,273,55,630,85,227,115,580,145,165,175,252,205,145,235,130,265,185,295,599,,,,,,,,
26,612,56,105,86,169,116,80,146,228,176,337,206,106,236,40,266,206,296,127,,,,,,,,
27,277,57,203,87,100,117,558,147,90,177,157,207,125,237,361,267,61,297,262,,,,,,,,
28,351,58,142,88,72,118,248,148,85,178,136,208,464,238,100,268,176,298,58,,,,,,,,
29,211,59,162,89,592,119,50,149,56,179,165,209,220,239,210,269,70,299,253,,,,,,,,
30,110,60,110,90,179,120,333,150,97,180,120,210,193,240,290,270,52,300,144,,,,,,,,
Centre:,280305,SRI,SRI,RAVI,SHANKAR,VIDYA,MANDIR,ERNAKULAM,"KL,",SRI,SRI,RAVI,SHANKAR,VIDYA,MANDIR,KOTHESHWARAM,TEMPLE,ROAD,CHEPPANAM,PANANGAD,P,NEET,(UG),2024,Page,No.,2
O,VYTILLA,ERNAKULAM,"KERALA,","ERNAKULAM/MOOVATTUPUZHA,",KERALA,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,
301,103,331,222,361,84,391,383,421,530,451,133,481,651,511,180,,,,,,,,,,,,
302,173,332,31,362,92,392,159,422,68,452,337,482,263,512,150,,,,,,,,,,,,
303,588,333,30,363,11,393,43,423,162,453,162,483,10,513,124,,,,,,,,,,,,
304,339,334,100,364,148,394,207,424,94,454,90,484,434,514,451,,,,,,,,,,,,
305,191,335,125,365,368,395,601,425,165,455,492,485,117,515,156,,,,,,,,,,,,
306,236,336,164,366,264,396,44,426,357,456,138,486,65,516,476,,,,,,,,,,,,
307,101,337,535,367,137,397,59,427,275,457,137,487,40,517,659,,,,,,,,,,,,
308,561,338,160,368,145,398,110,428,170,458,288,488,93,518,196,,,,,,,,,,,,
309,681,339,175,369,77,399,125,429,113,459,87,489,165,519,146,,,,,,,,,,,,
310,200,340,100,370,79,400,75,430,259,460,614,490,53,520,82,,,,,,,,,,,,
311,169,341,40,371,65,401,13,431,6,461,147,491,504,521,211,,,,,,,,,,,,
312,338,342,121,372,141,402,158,432,286,462,342,492,63,522,405,,,,,,,,,,,,
313,55,343,65,373,115,403,313,433,50,463,46,493,364,523,262,,,,,,,,,,,,
314,125,344,668,374,111,404,390,434,59,464,70,494,458,524,140,,,,,,,,,,,,
315,348,345,151,375,174,405,55,435,-15,465,178,495,75,525,30,,,,,,,,,,,,
316,220,346,226,376,59,406,70,436,177,466,136,496,95,526,302,,,,,,,,,,,,
317,160,347,158,377,291,407,230,437,215,467,147,497,182,527,117,,,,,,,,,,,,
318,145,348,146,378,63,408,265,438,311,468,241,498,349,528,119,,,,,,,,,,,,
319,196,349,83,379,259,409,292,439,207,469,99,499,115,529,205,,,,,,,,,,,,
320,220,350,304,380,162,410,275,440,185,470,200,500,447,530,113,,,,,,,,,,,,
321,50,351,255,381,101,411,145,441,474,471,165,501,66,531,232,,,,,,,,,,,,
322,181,352,172,382,418,412,140,442,137,472,614,502,165,532,181,,,,,,,,,,,,
323,196,353,196,383,153,413,130,443,79,473,361,503,550,533,587,,,,,,,,,,,,
324,482,354,118,384,70,414,139,444,85,474,242,504,422,534,305,,,,,,,,,,,,
325,261,355,434,385,76,415,440,445,205,475,113,505,68,535,252,,,,,,,,,,,,
326,95,356,529,386,236,416,636,446,577,476,122,506,66,536,147,,,,,,,,,,,,
327,353,357,46,387,236,417,411,447,39,477,107,507,209,537,514,,,,,,,,,,,,
328,144,358,114,388,470,418,76,448,301,478,608,508,252,538,263,,,,,,,,,,,,
329,141,359,48,389,122,419,90,449,64,479,300,509,249,,,,,,,,,,,,,,
330,120,360,275,390,328,420,38,450,56,480,134,510,204,,,,,,,,,,,,,,
