0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"(MANGALORE),",KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,
1,29,31,475,61,416,91,114,121,577,151,458,181,215,211,631,241,160,271,324,,,,,,
2,232,32,620,62,163,92,161,122,187,152,94,182,710,212,57,242,102,272,546,,,,,,
3,184,33,115,63,379,93,269,123,413,153,85,183,364,213,217,243,357,273,103,,,,,,
4,250,34,539,64,327,94,389,124,648,154,65,184,432,214,140,244,134,274,514,,,,,,
5,477,35,280,65,185,95,342,125,72,155,259,185,228,215,132,245,80,275,172,,,,,,
6,524,36,558,66,443,96,293,126,198,156,379,186,525,216,301,246,637,276,151,,,,,,
7,464,37,133,67,379,97,237,127,512,157,143,187,585,217,25,247,321,277,120,,,,,,
8,117,38,505,68,573,98,446,128,216,158,96,188,213,218,20,248,317,278,100,,,,,,
9,225,39,180,69,130,99,108,129,155,159,460,189,117,219,121,249,359,279,90,,,,,,
10,99,40,208,70,278,100,222,130,575,160,309,190,363,220,302,250,300,280,75,,,,,,
11,218,41,273,71,230,101,467,131,454,161,525,191,241,221,442,251,603,281,393,,,,,,
12,130,42,93,72,344,102,328,132,461,162,286,192,100,222,541,252,61,282,90,,,,,,
13,65,43,468,73,541,103,260,133,229,163,623,193,64,223,303,253,215,283,123,,,,,,
14,81,44,427,74,660,104,292,134,245,164,418,194,38,224,356,254,167,284,578,,,,,,
15,285,45,289,75,89,105,273,135,156,165,264,195,449,225,140,255,275,285,267,,,,,,
16,51,46,219,76,100,106,151,136,188,166,110,196,425,226,294,256,244,286,400,,,,,,
17,84,47,96,77,288,107,65,137,169,167,190,197,665,227,170,257,343,287,143,,,,,,
18,527,48,536,78,291,108,447,138,501,168,220,198,389,228,248,258,584,288,139,,,,,,
19,540,49,534,79,186,109,100,139,116,169,365,199,76,229,90,259,174,289,431,,,,,,
20,155,50,633,80,414,110,548,140,389,170,378,200,171,230,475,260,218,290,456,,,,,,
21,432,51,290,81,30,111,35,141,566,171,559,201,561,231,89,261,218,291,328,,,,,,
22,112,52,183,82,427,112,172,142,482,172,240,202,247,232,236,262,146,292,424,,,,,,
23,115,53,272,83,413,113,428,143,72,173,125,203,76,233,433,263,80,293,423,,,,,,
24,216,54,274,84,500,114,230,144,142,174,381,204,415,234,352,264,253,294,275,,,,,,
25,556,55,170,85,140,115,345,145,432,175,404,205,75,235,513,265,150,295,561,,,,,,
26,400,56,256,86,379,116,182,146,615,176,304,206,123,236,436,266,517,296,523,,,,,,
27,171,57,110,87,500,117,218,147,399,177,147,207,387,237,340,267,418,297,179,,,,,,
28,651,58,478,88,552,118,190,148,21,178,110,208,543,238,469,268,423,298,386,,,,,,
29,584,59,234,89,386,119,147,149,403,179,307,209,640,239,156,269,40,299,533,,,,,,
30,523,60,653,90,213,120,544,150,300,180,213,210,187,240,242,270,397,300,434,,,,,,
Centre:,270712,DR.,M,RAMANNA,SHETTY,MEMORIAL,ENGLISH,MEDIUM,HIGH,"SCHOOL,",TAPOVANA,THOKUR,POST,&,VILLAGE,VIA,HALEANGADI,"MANGALORE,",MANGALURU,NEET,(UG),2024,Page,No.,2
"(MANGALORE),",KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,
301,45,331,685,361,232,391,589,,,,,,,,,,,,,,,,,,
302,479,332,143,362,482,392,613,,,,,,,,,,,,,,,,,,
303,612,333,368,363,418,393,77,,,,,,,,,,,,,,,,,,
304,324,334,200,364,317,,,,,,,,,,,,,,,,,,,,
305,97,335,484,365,345,,,,,,,,,,,,,,,,,,,,
306,462,336,141,366,483,,,,,,,,,,,,,,,,,,,,
307,411,337,83,367,50,,,,,,,,,,,,,,,,,,,,
308,277,338,297,368,300,,,,,,,,,,,,,,,,,,,,
309,446,339,242,369,209,,,,,,,,,,,,,,,,,,,,
310,287,340,399,370,577,,,,,,,,,,,,,,,,,,,,
311,234,341,292,371,190,,,,,,,,,,,,,,,,,,,,
312,600,342,110,372,586,,,,,,,,,,,,,,,,,,,,
313,546,343,256,373,233,,,,,,,,,,,,,,,,,,,,
314,163,344,375,374,297,,,,,,,,,,,,,,,,,,,,
315,180,345,235,375,60,,,,,,,,,,,,,,,,,,,,
316,66,346,626,376,267,,,,,,,,,,,,,,,,,,,,
317,244,347,460,377,75,,,,,,,,,,,,,,,,,,,,
318,290,348,231,378,149,,,,,,,,,,,,,,,,,,,,
319,312,349,193,379,279,,,,,,,,,,,,,,,,,,,,
320,331,350,474,380,343,,,,,,,,,,,,,,,,,,,,
321,640,351,548,381,468,,,,,,,,,,,,,,,,,,,,
322,170,352,328,382,603,,,,,,,,,,,,,,,,,,,,
323,90,353,571,383,237,,,,,,,,,,,,,,,,,,,,
324,586,354,481,384,305,,,,,,,,,,,,,,,,,,,,
325,376,355,130,385,391,,,,,,,,,,,,,,,,,,,,
326,210,356,69,386,595,,,,,,,,,,,,,,,,,,,,
327,405,357,433,387,199,,,,,,,,,,,,,,,,,,,,
328,234,358,115,388,315,,,,,,,,,,,,,,,,,,,,
329,518,359,160,389,301,,,,,,,,,,,,,,,,,,,,
330,652,360,499,390,217,,,,,,,,,,,,,,,,,,,,
