0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,
1,365,31,128,61,66,91,557,121,174,151,62,181,443,211,155,241,298,271,145,,,,
2,68,32,189,62,253,92,523,122,110,152,411,182,256,212,185,242,463,272,330,,,,
3,585,33,104,63,534,93,44,123,236,153,111,183,275,213,295,243,202,273,384,,,,
4,416,34,114,64,68,94,233,124,75,154,271,184,542,214,210,244,18,274,200,,,,
5,86,35,27,65,344,95,215,125,507,155,75,185,596,215,310,245,276,275,317,,,,
6,361,36,372,66,310,96,181,126,36,156,134,186,193,216,204,246,63,276,272,,,,
7,137,37,126,67,223,97,371,127,167,157,70,187,97,217,246,247,583,277,240,,,,
8,123,38,458,68,488,98,85,128,86,158,202,188,336,218,410,248,230,278,621,,,,
9,102,39,88,69,660,99,136,129,127,159,464,189,71,219,473,249,329,279,515,,,,
10,363,40,162,70,75,100,165,130,235,160,440,190,239,220,492,250,378,280,135,,,,
11,595,41,195,71,76,101,257,131,580,161,92,191,95,221,263,251,351,281,245,,,,
12,284,42,117,72,136,102,294,132,397,162,344,192,37,222,168,252,512,282,192,,,,
13,124,43,439,73,75,103,108,133,154,163,196,193,148,223,255,253,460,283,212,,,,
14,209,44,160,74,139,104,237,134,227,164,229,194,147,224,382,254,339,284,363,,,,
15,119,45,115,75,193,105,198,135,221,165,317,195,102,225,277,255,279,285,205,,,,
16,155,46,104,76,323,106,62,136,66,166,551,196,262,226,72,256,69,286,165,,,,
17,318,47,218,77,214,107,217,137,191,167,330,197,288,227,23,257,90,287,347,,,,
18,164,48,285,78,299,108,382,138,99,168,373,198,178,228,645,258,673,288,495,,,,
19,128,49,510,79,57,109,295,139,596,169,158,199,251,229,47,259,571,289,440,,,,
20,610,50,489,80,334,110,598,140,454,170,402,200,225,230,192,260,165,290,85,,,,
21,162,51,157,81,110,111,316,141,288,171,367,201,242,231,72,261,355,291,244,,,,
22,193,52,152,82,50,112,70,142,223,172,199,202,447,232,296,262,84,292,219,,,,
23,133,53,647,83,90,113,256,143,290,173,371,203,251,233,445,263,488,293,433,,,,
24,202,54,325,84,200,114,190,144,209,174,110,204,117,234,49,264,621,294,171,,,,
25,111,55,145,85,251,115,409,145,159,175,75,205,529,235,397,265,539,295,194,,,,
26,180,56,354,86,119,116,201,146,215,176,298,206,51,236,359,266,279,296,101,,,,
27,225,57,57,87,130,117,220,147,352,177,56,207,108,237,130,267,159,297,369,,,,
28,77,58,156,88,347,118,221,148,289,178,354,208,271,238,292,268,256,298,428,,,,
29,498,59,337,89,295,119,477,149,172,179,392,209,335,239,329,269,72,299,229,,,,
30,62,60,277,90,489,120,80,150,269,180,298,210,60,240,355,270,176,300,192,,,,
Centre:,220201,CHAROTAR,ENGLISH,MEDIUM,"SCHOOL,",D,N,HIGH,SCHOOL,CAMPUS,STATION,ROAD,NEAR,SARDAR,"GUNJ,","ANAND,",GUJARAT,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,
301,155,331,349,361,371,391,251,421,110,451,221,481,165,511,506,541,616,571,169,,,,
302,615,332,207,362,446,392,276,422,279,452,438,482,495,512,74,542,129,572,307,,,,
303,202,333,88,363,143,393,126,423,140,453,271,483,137,513,705,543,285,573,289,,,,
304,258,334,70,364,88,394,269,424,270,454,130,484,227,514,55,544,178,574,69,,,,
305,48,335,18,365,529,395,224,425,166,455,55,485,396,515,211,545,184,575,437,,,,
306,225,336,198,366,305,396,631,426,300,456,375,486,434,516,96,546,239,576,440,,,,
307,233,337,113,367,278,397,460,427,25,457,125,487,119,517,132,547,197,577,255,,,,
308,165,338,465,368,300,398,240,428,218,458,406,488,255,518,190,548,333,578,192,,,,
309,526,339,92,369,325,399,99,429,219,459,352,489,509,519,89,549,115,579,207,,,,
310,475,340,279,370,34,400,80,430,85,460,503,490,198,520,229,550,106,580,379,,,,
311,505,341,165,371,164,401,206,431,135,461,191,491,409,521,279,551,370,581,465,,,,
312,42,342,248,372,69,402,245,432,335,462,112,492,129,522,160,552,116,582,342,,,,
313,40,343,50,373,176,403,143,433,58,463,248,493,80,523,346,553,335,583,234,,,,
