0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,293,31,24,61,74,91,58
2,30,32,200,62,106,92,176
3,40,33,375,63,283,93,92
4,100,34,105,64,140,94,102
5,53,35,96,65,184,95,144
6,84,36,104,66,105,96,50
7,428,37,53,67,341,97,55
8,477,38,81,68,82,98,33
9,31,39,352,69,124,99,75
10,150,40,92,70,79,100,45
11,35,41,284,71,119,101,65
12,41,42,258,72,99,102,22
13,105,43,455,73,126,103,113
14,208,44,231,74,54,104,78
15,77,45,52,75,108,105,166
16,32,46,136,76,108,106,284
17,90,47,105,77,15,107,215
18,96,48,43,78,125,108,59
19,104,49,384,79,25,109,461
20,36,50,199,80,570,110,63
21,56,51,318,81,120,111,314
22,101,52,134,82,146,112,67
23,110,53,72,83,120,113,50
24,106,54,17,84,140,114,160
25,165,55,456,85,92,115,168
26,47,56,85,86,238,116,30
27,46,57,172,87,120,117,200
28,205,58,34,88,135,,
29,81,59,130,89,30,,
30,248,60,41,90,157,,
