0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"SAGAR,",MADHYA,PRADESH,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,
1,138,31,320,61,94,91,82,121,87,151,322,181,48,211,71,241,239,271,153,,,,,,
2,83,32,75,62,251,92,-10,122,118,152,261,182,212,212,102,242,45,272,70,,,,,,
3,141,33,105,63,88,93,86,123,329,153,62,183,80,213,384,243,461,273,16,,,,,,
4,190,34,24,64,252,94,245,124,40,154,90,184,55,214,111,244,124,274,511,,,,,,
5,65,35,100,65,10,95,164,125,257,155,366,185,10,215,27,245,28,275,183,,,,,,
6,96,36,64,66,25,96,67,126,22,156,632,186,369,216,51,246,60,276,158,,,,,,
7,140,37,44,67,506,97,14,127,77,157,433,187,123,217,120,247,89,277,40,,,,,,
8,28,38,45,68,85,98,38,128,167,158,68,188,114,218,45,248,138,278,205,,,,,,
9,18,39,20,69,629,99,70,129,87,159,198,189,110,219,90,249,69,279,267,,,,,,
10,60,40,80,70,280,100,80,130,45,160,78,190,130,220,90,250,248,280,45,,,,,,
11,80,41,165,71,45,101,179,131,84,161,40,191,135,221,315,251,35,281,363,,,,,,
12,90,42,65,72,358,102,85,132,55,162,31,192,94,222,100,252,141,282,110,,,,,,
13,25,43,20,73,525,103,160,133,80,163,7,193,97,223,40,253,82,283,497,,,,,,
14,54,44,-10,74,11,104,81,134,32,164,115,194,45,224,60,254,236,284,70,,,,,,
15,76,45,22,75,63,105,15,135,125,165,86,195,15,225,128,255,50,285,106,,,,,,
16,75,46,40,76,170,106,131,136,115,166,377,196,124,226,488,256,71,286,54,,,,,,
17,62,47,133,77,53,107,144,137,305,167,111,197,69,227,350,257,50,287,85,,,,,,
18,18,48,61,78,54,108,251,138,82,168,90,198,297,228,400,258,332,288,80,,,,,,
19,629,49,20,79,125,109,40,139,108,169,80,199,53,229,56,259,36,289,125,,,,,,
20,60,50,461,80,25,110,190,140,68,170,75,200,67,230,89,260,396,290,95,,,,,,
21,171,51,164,81,121,111,60,141,222,171,254,201,219,231,110,261,18,291,127,,,,,,
22,82,52,243,82,244,112,82,142,105,172,90,202,25,232,164,262,40,292,88,,,,,,
23,71,53,183,83,251,113,100,143,55,173,12,203,91,233,40,263,424,293,107,,,,,,
24,102,54,35,84,39,114,27,144,140,174,297,204,106,234,65,264,60,294,60,,,,,,
25,25,55,60,85,173,115,96,145,65,175,80,205,38,235,91,265,65,295,83,,,,,,
26,477,56,56,86,266,116,70,146,110,176,174,206,190,236,74,266,41,296,302,,,,,,
27,256,57,211,87,145,117,18,147,110,177,75,207,30,237,117,267,37,297,115,,,,,,
28,81,58,41,88,53,118,46,148,30,178,88,208,65,238,95,268,89,298,42,,,,,,
29,83,59,157,89,142,119,84,149,121,179,113,209,12,239,166,269,70,299,75,,,,,,
30,90,60,436,90,71,120,75,150,55,180,190,210,103,240,61,270,132,300,45,,,,,,
Centre:,302804,DELHI,PUBLIC,"SCHOOL,",DELHI,PUBLIC,SCHOOL.,NEAR,GYAN,SAGAR,COLLEGE,OF,"ENGINEERING,","NH-26,","SIRONJA,","MAKRONIYA,",SAGAR,(MP),"470228,",NEET,(UG),2024,Page,No.,2
"SAGAR,",MADHYA,PRADESH,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,,,,,,,,,,,,,,,,,,,,,,,,
301,96,,,,,,,,,,,,,,,,,,,,,,,,
302,27,,,,,,,,,,,,,,,,,,,,,,,,
303,89,,,,,,,,,,,,,,,,,,,,,,,,
