0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,
1,143,31,139,61,149,91,182,121,683,151,100,181,175,211,110,241,480,271,210,,
2,272,32,103,62,402,92,172,122,324,152,241,182,240,212,282,242,197,272,61,,
3,214,33,330,63,101,93,64,123,681,153,166,183,176,213,211,243,160,273,69,,
4,91,34,635,64,612,94,70,124,440,154,289,184,608,214,288,244,68,274,53,,
5,628,35,39,65,464,95,131,125,620,155,570,185,287,215,50,245,366,275,118,,
6,640,36,410,66,84,96,297,126,62,156,262,186,357,216,301,246,57,276,127,,
7,184,37,185,67,651,97,84,127,413,157,116,187,333,217,222,247,262,277,100,,
8,78,38,462,68,59,98,298,128,153,158,95,188,32,218,26,248,177,278,12,,
9,203,39,114,69,130,99,-5,129,156,159,265,189,173,219,178,249,171,279,352,,
10,186,40,88,70,571,100,663,130,100,160,371,190,208,220,85,250,403,280,-13,,
11,193,41,129,71,368,101,314,131,119,161,176,191,92,221,308,251,28,281,132,,
12,81,42,348,72,540,102,124,132,391,162,204,192,193,222,117,252,366,282,21,,
13,167,43,178,73,207,103,632,133,383,163,74,193,421,223,230,253,135,283,680,,
14,159,44,105,74,196,104,157,134,160,164,41,194,121,224,658,254,623,284,448,,
15,74,45,172,75,36,105,302,135,640,165,101,195,143,225,155,255,91,285,387,,
16,26,46,557,76,35,106,105,136,45,166,243,196,311,226,278,256,193,286,548,,
17,248,47,103,77,198,107,270,137,576,167,220,197,185,227,70,257,70,287,265,,
18,589,48,20,78,276,108,330,138,393,168,265,198,92,228,212,258,33,288,30,,
19,26,49,195,79,113,109,502,139,96,169,145,199,432,229,451,259,52,289,426,,
20,226,50,357,80,290,110,73,140,225,170,196,200,135,230,343,260,464,290,35,,
21,335,51,101,81,70,111,187,141,212,171,108,201,449,231,431,261,234,291,189,,
22,47,52,60,82,75,112,544,142,327,172,75,202,564,232,362,262,433,292,172,,
23,312,53,556,83,619,113,318,143,87,173,555,203,291,233,56,263,204,293,311,,
24,173,54,72,84,145,114,513,144,141,174,87,204,160,234,43,264,289,294,474,,
25,489,55,106,85,59,115,531,145,74,175,715,205,685,235,235,265,114,295,171,,
26,104,56,202,86,163,116,267,146,134,176,51,206,15,236,149,266,433,296,583,,
27,525,57,178,87,181,117,11,147,206,177,335,207,295,237,195,267,159,297,35,,
28,217,58,619,88,430,118,165,148,261,178,600,208,492,238,655,268,164,298,345,,
29,100,59,330,89,115,119,64,149,316,179,264,209,92,239,278,269,139,299,92,,
30,106,60,257,90,142,120,285,150,48,180,307,210,146,240,157,270,173,300,80,,
Centre:,360410,KENDRIYA,VIDYALAYA,NO.,1,"BHUBANESHWAR,",UNIT-IX,BHOI,NAGAR,BHUBANESWAR,NEAR,RAM,"MANDIR,","BHUBANESWAR,",ODISHA,NEET,(UG),2024,Page,No.,2
