0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,88,31,149,61,435,91,398
2,116,32,146,62,250,92,123
3,252,33,211,63,174,93,512
4,72,34,260,64,239,94,195
5,337,35,143,65,337,95,431
6,149,36,257,66,249,96,34
7,178,37,152,67,380,97,99
8,355,38,121,68,523,98,162
9,50,39,179,69,257,99,137
10,221,40,265,70,185,100,47
11,141,41,125,71,239,101,447
12,56,42,450,72,334,102,168
13,84,43,65,73,187,103,80
14,167,44,85,74,130,104,278
15,146,45,68,75,230,105,114
16,135,46,133,76,219,106,204
17,150,47,108,77,96,107,160
18,44,48,108,78,106,,
19,112,49,461,79,557,,
20,72,50,342,80,21,,
21,124,51,371,81,103,,
22,90,52,65,82,56,,
23,145,53,180,83,120,,
24,208,54,50,84,164,,
25,203,55,564,85,143,,
26,118,56,95,86,280,,
27,71,57,55,87,165,,
28,174,58,132,88,172,,
29,359,59,75,89,70,,
30,551,60,208,90,498,,
