0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
KANPUR,UTTAR,"PRADESH,","KANPUR,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,
1,590,31,40,61,372,91,119,121,106,151,172,181,354,211,55,241,89,271,566,,,,,,,,,,
2,327,32,580,62,61,92,15,122,236,152,319,182,280,212,112,242,256,272,434,,,,,,,,,,
3,545,33,102,63,418,93,65,123,54,153,131,183,418,213,54,243,227,273,163,,,,,,,,,,
4,318,34,181,64,379,94,179,124,210,154,350,184,35,214,389,244,666,274,192,,,,,,,,,,
5,316,35,49,65,405,95,393,125,40,155,288,185,427,215,399,245,165,275,75,,,,,,,,,,
6,89,36,99,66,240,96,339,126,508,156,438,186,351,216,98,246,647,276,169,,,,,,,,,,
7,496,37,241,67,440,97,194,127,97,157,290,187,134,217,557,247,110,277,84,,,,,,,,,,
8,381,38,343,68,420,98,181,128,116,158,70,188,179,218,434,248,164,278,365,,,,,,,,,,
9,65,39,194,69,91,99,60,129,193,159,74,189,115,219,630,249,219,279,127,,,,,,,,,,
10,670,40,110,70,496,100,570,130,201,160,219,190,271,220,174,250,382,280,75,,,,,,,,,,
11,243,41,149,71,352,101,291,131,267,161,363,191,314,221,194,251,120,281,311,,,,,,,,,,
12,272,42,100,72,89,102,95,132,164,162,115,192,171,222,336,252,147,282,472,,,,,,,,,,
13,180,43,517,73,375,103,596,133,155,163,90,193,292,223,116,253,565,283,648,,,,,,,,,,
14,175,44,35,74,118,104,109,134,565,164,280,194,701,224,7,254,100,284,2,,,,,,,,,,
15,683,45,29,75,532,105,268,135,253,165,52,195,393,225,299,255,626,285,26,,,,,,,,,,
16,300,46,564,76,104,106,272,136,205,166,153,196,85,226,283,256,208,286,118,,,,,,,,,,
17,502,47,644,77,297,107,60,137,105,167,223,197,463,227,112,257,240,287,125,,,,,,,,,,
18,31,48,105,78,262,108,60,138,114,168,50,198,252,228,144,258,192,288,235,,,,,,,,,,
19,205,49,300,79,574,109,9,139,208,169,195,199,75,229,137,259,548,289,216,,,,,,,,,,
20,168,50,121,80,660,110,363,140,464,170,126,200,107,230,77,260,349,290,307,,,,,,,,,,
21,167,51,210,81,179,111,177,141,142,171,242,201,352,231,46,261,283,291,410,,,,,,,,,,
22,321,52,202,82,240,112,156,142,151,172,244,202,105,232,140,262,245,292,162,,,,,,,,,,
23,416,53,71,83,297,113,77,143,290,173,312,203,609,233,80,263,148,293,366,,,,,,,,,,
24,24,54,167,84,205,114,123,144,226,174,218,204,52,234,146,264,86,294,135,,,,,,,,,,
25,70,55,175,85,61,115,210,145,260,175,267,205,145,235,197,265,76,295,90,,,,,,,,,,
26,242,56,480,86,98,116,125,146,57,176,337,206,50,236,232,266,647,296,156,,,,,,,,,,
27,431,57,444,87,266,117,245,147,456,177,153,207,195,237,165,267,80,297,541,,,,,,,,,,
28,75,58,388,88,210,118,114,148,116,178,230,208,292,238,204,268,584,298,190,,,,,,,,,,
29,109,59,109,89,78,119,654,149,98,179,76,209,294,239,124,269,2,299,113,,,,,,,,,,
30,295,60,576,90,111,120,193,150,106,180,320,210,178,240,51,270,40,300,191,,,,,,,,,,
Centre:,440705,PT,D,D,U,S,D,VIDYALAYA,AZAD,NAGAR,KANPUR,"UP,",PT,DEEN,DAYAL,UPADHYAYA,SANATAN,DHARMA,VIDYALAYA,3A/252,AZAD,NAGAR,NAWABGANJ,NEET,(UG),2024,Page,No.,2
KANPUR,UTTAR,"PRADESH,","KANPUR,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,
301,142,331,143,361,468,391,490,421,530,451,49,481,76,511,463,541,416,571,264,,,,,,,,,,
302,66,332,215,362,331,392,349,422,517,452,341,482,516,512,620,542,261,572,259,,,,,,,,,,
303,79,333,273,363,126,393,107,423,83,453,310,483,64,513,115,543,135,573,56,,,,,,,,,,
304,54,334,204,364,72,394,177,424,97,454,237,484,180,514,367,544,84,574,87,,,,,,,,,,
305,473,335,537,365,384,395,527,425,83,455,77,485,106,515,179,545,123,575,248,,,,,,,,,,
306,195,336,94,366,320,396,190,426,297,456,29,486,50,516,107,546,94,576,121,,,,,,,,,,
307,601,337,100,367,388,397,518,427,76,457,78,487,124,517,110,547,285,577,49,,,,,,,,,,
308,75,338,402,368,308,398,131,428,63,458,510,488,116,518,410,548,292,578,120,,,,,,,,,,
309,190,339,186,369,22,399,590,429,95,459,118,489,214,519,20,549,165,579,177,,,,,,,,,,
310,188,340,701,370,116,400,320,430,214,460,651,490,375,520,25,550,487,580,214,,,,,,,,,,
311,665,341,175,371,99,401,27,431,135,461,43,491,120,521,297,551,180,581,171,,,,,,,,,,
312,476,342,170,372,481,402,108,432,152,462,281,492,675,522,312,552,255,582,17,,,,,,,,,,
313,488,343,379,373,240,403,413,433,80,463,71,493,326,523,574,553,468,583,85,,,,,,,,,,
314,547,344,336,374,89,404,163,434,170,464,220,494,108,524,163,554,617,584,505,,,,,,,,,,
315,145,345,136,375,276,405,235,435,59,465,343,495,21,525,395,555,257,585,64,,,,,,,,,,
316,105,346,53,376,76,406,60,436,278,466,83,496,379,526,218,556,679,586,263,,,,,,,,,,
317,486,347,248,377,96,407,186,437,564,467,505,497,90,527,172,557,431,587,89,,,,,,,,,,
318,478,348,253,378,49,408,142,438,463,468,260,498,51,528,221,558,432,588,179,,,,,,,,,,
319,598,349,101,379,86,409,85,439,116,469,258,499,116,529,418,559,86,589,500,,,,,,,,,,
320,135,350,295,380,346,410,125,440,560,470,347,500,335,530,201,560,32,590,118,,,,,,,,,,
321,454,351,369,381,221,411,393,441,46,471,153,501,488,531,129,561,145,591,157,,,,,,,,,,
322,160,352,276,382,105,412,140,442,106,472,619,502,635,532,53,562,250,592,111,,,,,,,,,,
323,148,353,75,383,113,413,94,443,278,473,29,503,143,533,219,563,379,593,129,,,,,,,,,,
324,413,354,417,384,100,414,472,444,97,474,148,504,292,534,395,564,120,594,168,,,,,,,,,,
325,144,355,192,385,332,415,141,445,477,475,238,505,76,535,575,565,375,595,183,,,,,,,,,,
326,511,356,563,386,387,416,338,446,382,476,596,506,336,536,109,566,207,596,98,,,,,,,,,,
327,60,357,101,387,122,417,574,447,95,477,625,507,416,537,9,567,101,597,95,,,,,,,,,,
328,57,358,556,388,180,418,204,448,196,478,86,508,230,538,301,568,370,598,377,,,,,,,,,,
329,18,359,57,389,275,419,130,449,273,479,534,509,83,539,201,569,204,599,190,,,,,,,,,,
330,194,360,413,390,303,420,134,450,384,480,252,510,591,540,163,570,254,600,156,,,,,,,,,,
Centre:,440705,PT,D,D,U,S,D,VIDYALAYA,AZAD,NAGAR,KANPUR,"UP,",PT,DEEN,DAYAL,UPADHYAYA,SANATAN,DHARMA,VIDYALAYA,3A/252,AZAD,NAGAR,NAWABGANJ,NEET,(UG),2024,Page,No.,3
KANPUR,UTTAR,"PRADESH,","KANPUR,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,
601,77,631,100,661,428,691,131,721,178,751,256,781,133,811,380,841,248,871,478,,,,,,,,,,
602,422,632,193,662,71,692,85,722,237,752,236,782,135,812,139,842,151,872,120,,,,,,,,,,
603,476,633,647,663,292,693,106,723,95,753,519,783,533,813,102,843,115,873,639,,,,,,,,,,
604,482,634,235,664,247,694,136,724,103,754,338,784,375,814,368,844,113,874,609,,,,,,,,,,
605,62,635,626,665,169,695,554,725,35,755,133,785,345,815,281,845,395,875,340,,,,,,,,,,
606,39,636,39,666,192,696,262,726,352,756,243,786,155,816,136,846,481,876,124,,,,,,,,,,
607,272,637,180,667,257,697,342,727,179,757,91,787,412,817,189,847,21,877,399,,,,,,,,,,
608,337,638,67,668,300,698,335,728,113,758,23,788,217,818,76,848,248,878,58,,,,,,,,,,
609,96,639,215,669,387,699,158,729,169,759,219,789,510,819,120,849,119,879,154,,,,,,,,,,
610,240,640,80,670,36,700,198,730,465,760,228,790,475,820,601,850,102,880,55,,,,,,,,,,
611,148,641,135,671,129,701,42,731,127,761,229,791,510,821,392,851,80,881,66,,,,,,,,,,
612,178,642,104,672,332,702,74,732,105,762,164,792,629,822,284,852,150,882,116,,,,,,,,,,
613,240,643,140,673,177,703,166,733,377,763,193,793,75,823,340,853,31,883,138,,,,,,,,,,
614,573,644,209,674,621,704,62,734,106,764,213,794,626,824,129,854,101,884,226,,,,,,,,,,
615,117,645,245,675,168,705,148,735,85,765,338,795,387,825,499,855,564,885,160,,,,,,,,,,
616,390,646,18,676,391,706,84,736,62,766,479,796,470,826,105,856,401,886,133,,,,,,,,,,
617,31,647,73,677,80,707,148,737,357,767,113,797,527,827,497,857,60,887,64,,,,,,,,,,
618,510,648,686,678,62,708,193,738,254,768,80,798,86,828,292,858,121,888,118,,,,,,,,,,
619,437,649,450,679,622,709,475,739,239,769,99,799,50,829,148,859,197,889,61,,,,,,,,,,
620,177,650,80,680,165,710,130,740,563,770,616,800,97,830,179,860,145,890,-4,,,,,,,,,,
621,345,651,550,681,278,711,50,741,652,771,222,801,660,831,213,861,327,891,439,,,,,,,,,,
622,69,652,597,682,480,712,5,742,431,772,127,802,140,832,249,862,172,892,574,,,,,,,,,,
623,24,653,210,683,400,713,323,743,231,773,395,803,476,833,390,863,232,893,20,,,,,,,,,,
624,208,654,21,684,676,714,306,744,362,774,57,804,384,834,705,864,67,894,461,,,,,,,,,,
625,72,655,158,685,202,715,375,745,82,775,221,805,561,835,519,865,125,895,371,,,,,,,,,,
626,447,656,217,686,328,716,167,746,162,776,41,806,175,836,153,866,574,896,614,,,,,,,,,,
627,406,657,44,687,206,717,504,747,307,777,60,807,119,837,184,867,616,897,413,,,,,,,,,,
628,77,658,173,688,232,718,218,748,398,778,66,808,36,838,103,868,153,898,47,,,,,,,,,,
629,76,659,186,689,81,719,73,749,88,779,108,809,53,839,629,869,36,899,492,,,,,,,,,,
630,320,660,212,690,538,720,130,750,205,780,581,810,40,840,78,870,145,900,122,,,,,,,,,,
Centre:,440705,PT,D,D,U,S,D,VIDYALAYA,AZAD,NAGAR,KANPUR,"UP,",PT,DEEN,DAYAL,UPADHYAYA,SANATAN,DHARMA,VIDYALAYA,3A/252,AZAD,NAGAR,NAWABGANJ,NEET,(UG),2024,Page,No.,4
KANPUR,UTTAR,"PRADESH,","KANPUR,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,,,,,,,,,
901,345,931,146,,,,,,,,,,,,,,,,,,,,,,,,,,
902,76,932,198,,,,,,,,,,,,,,,,,,,,,,,,,,
903,168,933,120,,,,,,,,,,,,,,,,,,,,,,,,,,
904,42,934,302,,,,,,,,,,,,,,,,,,,,,,,,,,
905,285,935,486,,,,,,,,,,,,,,,,,,,,,,,,,,
906,80,936,374,,,,,,,,,,,,,,,,,,,,,,,,,,
907,107,937,163,,,,,,,,,,,,,,,,,,,,,,,,,,
908,613,938,169,,,,,,,,,,,,,,,,,,,,,,,,,,
909,182,939,354,,,,,,,,,,,,,,,,,,,,,,,,,,
910,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
