0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,100,31,15,61,224,91,194
2,285,32,115,62,64,92,17
3,156,33,122,63,294,93,191
4,229,34,57,64,65,94,90
5,75,35,74,65,91,95,72
6,32,36,46,66,141,96,107
7,261,37,11,67,40,97,85
8,60,38,184,68,164,,
9,144,39,103,69,90,,
10,232,40,60,70,24,,
11,50,41,48,71,211,,
12,33,42,75,72,121,,
13,75,43,74,73,220,,
14,75,44,380,74,71,,
15,20,45,395,75,51,,
16,85,46,150,76,125,,
17,26,47,60,77,242,,
18,106,48,96,78,119,,
19,71,49,537,79,91,,
20,150,50,511,80,80,,
21,50,51,131,81,185,,
22,143,52,197,82,115,,
23,89,53,55,83,100,,
24,106,54,76,84,326,,
25,442,55,207,85,90,,
26,172,56,25,86,97,,
27,115,57,116,87,188,,
28,153,58,25,88,98,,
29,105,59,345,89,363,,
30,369,60,106,90,85,,
