0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,
1,225,31,272,61,211,91,441,121,58,151,151,181,331,211,313,241,33,271,352,,,,,,,
2,261,32,646,62,427,92,8,122,107,152,526,182,35,212,521,242,360,272,544,,,,,,,
3,174,33,129,63,147,93,282,123,228,153,231,183,207,213,290,243,544,273,100,,,,,,,
4,310,34,146,64,607,94,379,124,177,154,648,184,438,214,611,244,647,274,278,,,,,,,
5,132,35,400,65,251,95,314,125,0,155,370,185,179,215,519,245,421,275,630,,,,,,,
6,246,36,96,66,40,96,51,126,145,156,101,186,229,216,226,246,71,276,432,,,,,,,
7,465,37,53,67,116,97,376,127,70,157,265,187,46,217,433,247,527,277,418,,,,,,,
8,66,38,200,68,226,98,85,128,194,158,381,188,69,218,167,248,530,278,178,,,,,,,
9,207,39,198,69,49,99,304,129,117,159,126,189,72,219,452,249,265,279,490,,,,,,,
10,70,40,110,70,106,100,30,130,580,160,675,190,98,220,152,250,92,280,265,,,,,,,
11,67,41,97,71,252,101,504,131,91,161,424,191,248,221,190,251,291,281,150,,,,,,,
12,103,42,84,72,204,102,36,132,198,162,76,192,131,222,627,252,220,282,155,,,,,,,
13,408,43,200,73,97,103,45,133,85,163,192,193,44,223,230,253,74,283,242,,,,,,,
14,538,44,48,74,401,104,515,134,37,164,286,194,167,224,95,254,189,284,65,,,,,,,
15,35,45,377,75,647,105,179,135,511,165,345,195,640,225,88,255,139,285,494,,,,,,,
16,266,46,212,76,650,106,237,136,381,166,249,196,127,226,110,256,194,286,354,,,,,,,
17,140,47,317,77,187,107,40,137,518,167,153,197,265,227,281,257,144,287,156,,,,,,,
18,90,48,148,78,442,108,551,138,655,168,219,198,156,228,479,258,115,288,395,,,,,,,
19,80,49,615,79,212,109,171,139,518,169,423,199,426,229,86,259,110,289,299,,,,,,,
20,490,50,109,80,105,110,40,140,223,170,264,200,95,230,111,260,251,290,569,,,,,,,
21,90,51,75,81,53,111,331,141,56,171,481,201,358,231,146,261,214,291,22,,,,,,,
22,121,52,168,82,391,112,78,142,584,172,81,202,168,232,504,262,657,292,536,,,,,,,
23,484,53,115,83,435,113,65,143,369,173,122,203,94,233,140,263,265,293,645,,,,,,,
24,152,54,200,84,371,114,166,144,210,174,479,204,46,234,18,264,179,294,552,,,,,,,
25,25,55,305,85,390,115,561,145,194,175,316,205,652,235,314,265,165,295,312,,,,,,,
26,673,56,356,86,120,116,308,146,190,176,523,206,198,236,350,266,467,296,241,,,,,,,
