0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
TAMIL,NADU,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,80,31,158,61,157,91,125,121,129,151,487,181,133,211,402
2,376,32,279,62,104,92,97,122,34,152,278,182,148,212,431
3,66,33,415,63,359,93,583,123,194,153,187,183,80,213,135
4,281,34,382,64,76,94,156,124,114,154,466,184,484,214,108
5,183,35,496,65,99,95,539,125,326,155,113,185,125,215,672
6,221,36,356,66,66,96,123,126,99,156,435,186,370,216,20
7,461,37,40,67,498,97,216,127,62,157,134,187,113,217,65
8,357,38,287,68,188,98,335,128,329,158,165,188,107,218,145
9,76,39,415,69,283,99,412,129,400,159,227,189,260,219,181
10,143,40,180,70,95,100,95,130,295,160,274,190,420,220,115
11,362,41,27,71,466,101,95,131,284,161,406,191,135,221,133
12,448,42,388,72,84,102,38,132,513,162,72,192,42,222,376
13,541,43,70,73,261,103,176,133,84,163,338,193,91,223,387
14,314,44,15,74,71,104,261,134,109,164,90,194,500,224,102
15,95,45,100,75,426,105,504,135,127,165,37,195,95,225,98
16,165,46,354,76,111,106,82,136,95,166,159,196,136,226,247
17,116,47,593,77,373,107,108,137,230,167,110,197,110,227,147
18,498,48,234,78,478,108,110,138,228,168,492,198,469,228,66
19,110,49,297,79,73,109,451,139,289,169,86,199,70,229,472
20,232,50,179,80,320,110,508,140,101,170,97,200,178,230,248
21,114,51,402,81,449,111,155,141,151,171,415,201,180,,
22,57,52,37,82,249,112,101,142,99,172,115,202,164,,
23,479,53,410,83,153,113,412,143,559,173,229,203,259,,
24,105,54,76,84,55,114,377,144,56,174,62,204,136,,
25,137,55,113,85,146,115,265,145,251,175,89,205,153,,
26,170,56,218,86,563,116,302,146,121,176,502,206,109,,
27,503,57,90,87,483,117,119,147,100,177,489,207,266,,
28,80,58,352,88,90,118,310,148,165,178,265,208,93,,
29,146,59,368,89,557,119,439,149,266,179,110,209,194,,
30,83,60,410,90,511,120,194,150,64,180,94,210,284,,
