0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
JAMMU,&,"KASHMIR,","JAMMU,",JAMMU,&,KASHMIR,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,
1,66,31,48,61,226,91,183,121,248,151,156,181,186,211,603,241,377,271,358,,,,,,,,,
2,135,32,464,62,58,92,82,122,154,152,39,182,234,212,308,242,69,272,417,,,,,,,,,
3,146,33,457,63,61,93,152,123,306,153,227,183,266,213,84,243,98,273,172,,,,,,,,,
4,73,34,36,64,69,94,353,124,40,154,403,184,311,214,18,244,191,274,-4,,,,,,,,,
5,95,35,200,65,124,95,110,125,386,155,140,185,78,215,327,245,135,275,463,,,,,,,,,
6,491,36,254,66,187,96,212,126,634,156,559,186,256,216,56,246,333,276,208,,,,,,,,,
7,129,37,59,67,184,97,271,127,368,157,142,187,434,217,60,247,342,277,403,,,,,,,,,
8,96,38,165,68,145,98,452,128,159,158,420,188,44,218,396,248,355,278,462,,,,,,,,,
9,169,39,424,69,10,99,79,129,448,159,425,189,321,219,434,249,179,279,138,,,,,,,,,
10,278,40,80,70,177,100,123,130,42,160,282,190,12,220,139,250,484,280,139,,,,,,,,,
11,111,41,50,71,152,101,249,131,102,161,365,191,168,221,287,251,437,281,115,,,,,,,,,
12,163,42,93,72,81,102,164,132,67,162,141,192,121,222,262,252,196,282,117,,,,,,,,,
13,77,43,472,73,200,103,39,133,250,163,665,193,93,223,486,253,193,283,116,,,,,,,,,
14,646,44,80,74,47,104,107,134,196,164,113,194,138,224,52,254,316,284,156,,,,,,,,,
15,155,45,197,75,211,105,374,135,65,165,600,195,314,225,69,255,287,285,111,,,,,,,,,
16,125,46,110,76,44,106,144,136,86,166,114,196,463,226,91,256,215,286,99,,,,,,,,,
17,84,47,192,77,49,107,242,137,237,167,323,197,58,227,139,257,238,287,47,,,,,,,,,
18,199,48,437,78,14,108,175,138,214,168,32,198,181,228,120,258,394,288,83,,,,,,,,,
19,215,49,30,79,76,109,92,139,98,169,239,199,106,229,91,259,119,289,70,,,,,,,,,
20,138,50,360,80,126,110,100,140,85,170,395,200,125,230,63,260,612,290,132,,,,,,,,,
21,79,51,140,81,25,111,238,141,176,171,45,201,135,231,308,261,374,291,263,,,,,,,,,
22,212,52,169,82,90,112,85,142,80,172,173,202,35,232,247,262,316,292,36,,,,,,,,,
23,279,53,63,83,29,113,154,143,14,173,75,203,85,233,133,263,69,293,92,,,,,,,,,
24,185,54,25,84,484,114,216,144,202,174,195,204,346,234,110,264,286,294,122,,,,,,,,,
25,68,55,60,85,89,115,213,145,26,175,168,205,44,235,25,265,339,295,15,,,,,,,,,
26,69,56,102,86,286,116,251,146,369,176,93,206,30,236,69,266,112,296,107,,,,,,,,,
27,36,57,40,87,121,117,284,147,85,177,240,207,163,237,58,267,155,297,93,,,,,,,,,
28,589,58,102,88,87,118,276,148,202,178,554,208,43,238,58,268,491,298,131,,,,,,,,,
29,-5,59,102,89,332,119,120,149,261,179,268,209,99,239,655,269,100,299,79,,,,,,,,,
30,381,60,87,90,205,120,31,150,20,180,137,210,412,240,277,270,199,300,428,,,,,,,,,
Centre:,250104,G,D,GOENKA,PUBLIC,SCHOOL,GAJANSOO,JAMMU,"J&K,",G,D,GOENKA,PUBLIC,SCHOOL,OPP,NAGBANI,PANCHAYAT,GHAR,GAJANSOO,MARH,ROAD,JAMMU,NEET,(UG),2024,Page,No.,2
JAMMU,&,"KASHMIR,","JAMMU,",JAMMU,&,KASHMIR,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,
301,70,331,200,361,504,391,561,421,188,451,152,481,576,511,56,,,,,,,,,,,,,
302,38,332,237,362,63,392,77,422,117,452,42,482,279,512,-7,,,,,,,,,,,,,
303,542,333,140,363,140,393,39,423,208,453,89,483,129,513,68,,,,,,,,,,,,,
304,198,334,439,364,63,394,60,424,54,454,165,484,21,514,156,,,,,,,,,,,,,
305,47,335,161,365,151,395,313,425,76,455,294,485,407,515,79,,,,,,,,,,,,,
306,157,336,195,366,74,396,289,426,253,456,654,486,466,516,65,,,,,,,,,,,,,
307,71,337,489,367,45,397,547,427,387,457,43,487,303,517,177,,,,,,,,,,,,,
308,552,338,105,368,54,398,53,428,126,458,460,488,279,518,68,,,,,,,,,,,,,
309,220,339,271,369,537,399,383,429,136,459,176,489,36,519,75,,,,,,,,,,,,,
310,41,340,521,370,290,400,211,430,244,460,180,490,361,520,212,,,,,,,,,,,,,
311,146,341,35,371,203,401,130,431,348,461,179,491,105,521,201,,,,,,,,,,,,,
312,337,342,57,372,87,402,176,432,253,462,194,492,254,522,35,,,,,,,,,,,,,
313,89,343,71,373,215,403,268,433,67,463,591,493,531,523,146,,,,,,,,,,,,,
314,140,344,405,374,181,404,90,434,457,464,71,494,181,524,153,,,,,,,,,,,,,
