0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,126,31,280,61,229,91,104,121,394,151,96,181,159
2,87,32,160,62,221,92,121,122,142,152,40,182,233
3,119,33,271,63,53,93,281,123,323,153,147,183,207
4,90,34,67,64,146,94,511,124,50,154,197,184,71
5,230,35,45,65,98,95,210,125,94,155,134,185,157
6,127,36,125,66,30,96,108,126,186,156,40,186,47
7,72,37,88,67,235,97,150,127,97,157,208,187,105
8,121,38,268,68,172,98,340,128,286,158,72,188,23
9,180,39,23,69,90,99,212,129,137,159,164,189,371
10,600,40,181,70,131,100,100,130,557,160,295,190,35
11,239,41,504,71,185,101,167,131,164,161,130,191,60
12,246,42,95,72,261,102,206,132,78,162,190,192,137
13,153,43,97,73,16,103,112,133,78,163,457,193,147
14,190,44,358,74,79,104,49,134,247,164,171,194,55
15,48,45,303,75,95,105,147,135,59,165,28,195,82
16,141,46,58,76,186,106,73,136,610,166,108,196,132
17,166,47,175,77,185,107,60,137,100,167,366,197,165
18,65,48,151,78,376,108,235,138,116,168,126,198,96
19,152,49,63,79,106,109,570,139,191,169,198,199,344
20,490,50,172,80,265,110,22,140,124,170,268,200,116
21,215,51,222,81,291,111,85,141,147,171,59,201,88
22,238,52,28,82,190,112,95,142,242,172,91,202,176
23,105,53,69,83,35,113,172,143,361,173,161,203,134
24,98,54,535,84,175,114,117,144,117,174,171,204,64
25,125,55,61,85,214,115,262,145,96,175,461,205,119
26,113,56,65,86,87,116,197,146,85,176,106,206,200
27,10,57,47,87,115,117,111,147,58,177,101,207,190
28,121,58,158,88,133,118,183,148,162,178,339,208,99
29,114,59,159,89,260,119,186,149,266,179,213,209,226
30,156,60,52,90,110,120,576,150,328,180,138,,
