0,1,2,3,4,5,6,7,8,9
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,447,31,175,61,209,91,285,121,343
2,398,32,188,62,208,92,140,122,414
3,233,33,407,63,141,93,229,123,155
4,120,34,161,64,232,94,257,124,21
5,305,35,188,65,109,95,109,125,409
6,341,36,240,66,104,96,217,126,173
7,89,37,253,67,77,97,339,127,63
8,70,38,137,68,416,98,415,128,64
9,528,39,161,69,36,99,190,129,225
10,274,40,197,70,140,100,99,130,61
11,416,41,230,71,274,101,175,131,254
12,161,42,311,72,420,102,212,132,81
13,134,43,245,73,530,103,242,133,140
14,337,44,448,74,344,104,85,134,211
15,605,45,65,75,126,105,220,135,86
16,276,46,173,76,137,106,185,136,144
17,206,47,177,77,142,107,70,137,50
18,116,48,492,78,83,108,408,138,65
19,211,49,121,79,194,109,130,139,162
20,385,50,142,80,220,110,544,140,166
21,126,51,343,81,39,111,97,141,161
22,442,52,259,82,188,112,168,142,80
23,401,53,400,83,68,113,151,143,138
24,297,54,96,84,196,114,215,144,135
25,222,55,100,85,110,115,123,145,194
26,231,56,137,86,147,116,504,146,333
27,96,57,108,87,194,117,110,147,40
28,30,58,166,88,191,118,547,,
29,124,59,74,89,136,119,141,,
30,79,60,309,90,304,120,212,,
