0,1,2,3,4,5,6,7,8,9
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,272,31,156,61,503,91,57,121,147
2,216,32,57,62,233,92,221,122,93
3,112,33,61,63,125,93,186,123,106
4,85,34,441,64,111,94,59,124,91
5,169,35,282,65,96,95,226,125,121
6,266,36,105,66,170,96,370,126,493
7,81,37,171,67,155,97,146,127,70
8,442,38,99,68,253,98,236,128,73
9,71,39,184,69,125,99,101,129,205
10,222,40,301,70,640,100,504,,
11,278,41,94,71,529,101,66,,
12,280,42,387,72,40,102,350,,
13,114,43,203,73,72,103,130,,
14,330,44,216,74,77,104,278,,
15,134,45,53,75,319,105,243,,
16,55,46,359,76,85,106,103,,
17,212,47,161,77,23,107,35,,
18,22,48,158,78,212,108,275,,
19,90,49,18,79,104,109,155,,
20,161,50,86,80,81,110,160,,
21,106,51,161,81,51,111,76,,
22,342,52,183,82,350,112,90,,
23,131,53,587,83,104,113,285,,
24,83,54,4,84,561,114,419,,
25,100,55,360,85,129,115,154,,
26,114,56,42,86,201,116,142,,
27,436,57,625,87,587,117,220,,
28,94,58,320,88,108,118,348,,
29,56,59,82,89,136,119,167,,
30,100,60,219,90,210,120,271,,
