0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,116,31,212,61,55,91,85,121,24,151,73,181,232,211,121,241,110
2,37,32,51,62,113,92,263,122,88,152,50,182,105,212,31,242,330
3,540,33,133,63,390,93,255,123,393,153,58,183,91,213,126,243,73
4,582,34,270,64,337,94,182,124,90,154,181,184,228,214,671,244,163
5,201,35,272,65,417,95,115,125,100,155,165,185,109,215,28,245,15
6,367,36,293,66,189,96,69,126,495,156,59,186,29,216,263,246,82
7,310,37,120,67,128,97,420,127,22,157,175,187,238,217,63,247,335
8,190,38,377,68,90,98,206,128,107,158,221,188,234,218,60,248,250
9,142,39,76,69,383,99,82,129,100,159,62,189,41,219,269,249,99
10,248,40,365,70,260,100,147,130,83,160,80,190,48,220,129,250,75
11,66,41,88,71,210,101,147,131,100,161,81,191,77,221,368,251,158
12,576,42,190,72,210,102,50,132,89,162,129,192,161,222,320,252,138
13,235,43,126,73,297,103,130,133,151,163,70,193,34,223,176,253,147
14,229,44,251,74,89,104,184,134,342,164,225,194,122,224,192,254,85
15,132,45,559,75,262,105,116,135,136,165,232,195,99,225,167,255,85
16,146,46,461,76,171,106,60,136,140,166,135,196,97,226,98,256,171
17,202,47,157,77,374,107,80,137,174,167,35,197,154,227,73,257,172
18,15,48,171,78,93,108,172,138,373,168,70,198,106,228,365,258,75
19,186,49,132,79,145,109,159,139,79,169,126,199,110,229,9,259,88
20,126,50,295,80,107,110,140,140,114,170,105,200,626,230,174,,
21,65,51,214,81,95,111,291,141,92,171,208,201,77,231,295,,
22,160,52,344,82,99,112,115,142,145,172,237,202,294,232,419,,
23,91,53,12,83,83,113,90,143,418,173,130,203,184,233,100,,
24,43,54,169,84,50,114,118,144,125,174,75,204,289,234,80,,
25,248,55,215,85,336,115,78,145,292,175,305,205,103,235,172,,
26,67,56,34,86,105,116,245,146,100,176,306,206,141,236,72,,
27,137,57,115,87,185,117,132,147,85,177,29,207,105,237,444,,
28,219,58,155,88,132,118,79,148,171,178,51,208,145,238,157,,
29,180,59,154,89,81,119,105,149,228,179,204,209,444,239,128,,
30,100,60,37,90,18,120,74,150,45,180,133,210,130,240,15,,
