0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,63,31,209,61,87,91,147
2,28,32,98,62,146,92,108
3,178,33,85,63,144,93,110
4,128,34,55,64,230,94,213
5,118,35,92,65,17,95,68
6,32,36,257,66,135,96,85
7,188,37,55,67,266,97,11
8,88,38,84,68,137,98,30
9,324,39,90,69,134,99,186
10,217,40,123,70,25,100,93
11,124,41,143,71,125,101,113
12,78,42,119,72,277,102,95
13,92,43,258,73,386,103,33
14,175,44,57,74,331,104,25
15,91,45,36,75,289,105,161
16,26,46,361,76,253,106,185
17,188,47,179,77,115,107,157
18,94,48,90,78,123,108,205
19,68,49,147,79,275,109,101
20,80,50,178,80,146,110,106
21,115,51,106,81,170,111,121
22,129,52,38,82,165,,
23,161,53,71,83,103,,
24,120,54,50,84,171,,
25,78,55,148,85,85,,
26,136,56,96,86,105,,
27,85,57,101,87,69,,
28,64,58,77,88,125,,
29,124,59,476,89,85,,
30,150,60,69,90,252,,
