0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,
1,115,31,77,61,140,91,175,121,55,151,299,181,441,211,452,241,528,271,499,,,,
2,539,32,205,62,103,92,113,122,338,152,157,182,75,212,226,242,377,272,158,,,,
3,284,33,483,63,218,93,120,123,303,153,254,183,209,213,635,243,208,273,173,,,,
4,148,34,413,64,665,94,130,124,555,154,536,184,241,214,424,244,145,274,31,,,,
5,138,35,83,65,94,95,159,125,105,155,98,185,243,215,33,245,299,275,458,,,,
6,252,36,104,66,183,96,207,126,68,156,160,186,343,216,682,246,30,276,362,,,,
7,390,37,72,67,14,97,195,127,519,157,32,187,399,217,285,247,184,277,502,,,,
8,153,38,588,68,350,98,377,128,105,158,241,188,523,218,130,248,37,278,217,,,,
9,107,39,243,69,20,99,140,129,73,159,621,189,431,219,85,249,58,279,434,,,,
10,156,40,469,70,121,100,87,130,315,160,420,190,53,220,34,250,144,280,288,,,,
11,410,41,159,71,357,101,76,131,276,161,177,191,246,221,76,251,362,281,258,,,,
12,516,42,198,72,343,102,465,132,60,162,297,192,115,222,265,252,77,282,124,,,,
13,166,43,196,73,369,103,217,133,39,163,102,193,60,223,111,253,201,283,557,,,,
14,65,44,149,74,65,104,253,134,73,164,235,194,252,224,31,254,326,284,158,,,,
15,181,45,296,75,404,105,329,135,141,165,261,195,340,225,531,255,33,285,297,,,,
16,500,46,148,76,337,106,646,136,191,166,658,196,139,226,112,256,517,286,357,,,,
17,110,47,504,77,594,107,335,137,205,167,175,197,110,227,52,257,140,287,278,,,,
18,449,48,210,78,160,108,379,138,63,168,56,198,-8,228,108,258,246,288,106,,,,
19,655,49,291,79,653,109,247,139,178,169,306,199,26,229,98,259,298,289,116,,,,
20,224,50,91,80,400,110,130,140,122,170,114,200,200,230,97,260,355,290,260,,,,
21,685,51,170,81,43,111,617,141,162,171,70,201,198,231,80,261,65,291,145,,,,
22,55,52,201,82,70,112,630,142,509,172,124,202,470,232,148,262,184,292,140,,,,
23,248,53,172,83,208,113,504,143,389,173,74,203,169,233,352,263,90,293,347,,,,
24,570,54,412,84,267,114,232,144,136,174,68,204,111,234,407,264,217,294,691,,,,
25,152,55,306,85,103,115,233,145,635,175,120,205,187,235,152,265,240,295,597,,,,
26,274,56,240,86,30,116,617,146,203,176,102,206,83,236,250,266,424,296,245,,,,
27,299,57,244,87,614,117,269,147,238,177,149,207,154,237,23,267,557,297,550,,,,
28,139,58,417,88,68,118,353,148,231,178,383,208,233,238,245,268,102,298,340,,,,
29,128,59,429,89,198,119,166,149,219,179,151,209,174,239,138,269,43,299,276,,,,
30,431,60,545,90,198,120,69,150,411,180,517,210,327,240,29,270,351,300,181,,,,
