0,1,2,3,4,5,6,7,8,9,10,11
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,89,31,76,61,71,91,44,121,42,151,30
2,79,32,110,62,2,92,36,122,25,152,102
3,38,33,96,63,85,93,53,123,83,153,122
4,292,34,91,64,74,94,63,124,-3,154,27
5,70,35,122,65,78,95,10,125,205,155,30
6,27,36,23,66,21,96,171,126,75,156,38
7,36,37,52,67,144,97,115,127,31,157,39
8,58,38,47,68,20,98,47,128,190,158,60
9,20,39,125,69,71,99,37,129,60,159,53
10,137,40,44,70,80,100,-20,130,28,160,36
11,31,41,79,71,35,101,51,131,90,161,105
12,70,42,60,72,81,102,75,132,155,162,60
13,203,43,21,73,100,103,122,133,85,163,86
14,85,44,158,74,-7,104,59,134,205,164,242
15,57,45,80,75,43,105,159,135,32,165,219
16,48,46,142,76,95,106,61,136,50,166,35
17,138,47,25,77,120,107,180,137,35,167,95
18,179,48,92,78,110,108,62,138,32,168,106
19,98,49,314,79,80,109,80,139,94,169,75
20,39,50,83,80,20,110,50,140,59,170,60
21,59,51,110,81,95,111,65,141,117,171,149
22,147,52,103,82,95,112,75,142,90,,
23,141,53,115,83,50,113,110,143,33,,
24,330,54,147,84,112,114,30,144,79,,
25,25,55,20,85,29,115,55,145,22,,
26,128,56,10,86,110,116,32,146,-2,,
27,78,57,41,87,46,117,89,147,77,,
28,100,58,47,88,103,118,72,148,508,,
29,47,59,50,89,55,119,77,149,26,,
30,23,60,25,90,147,120,110,150,85,,
