0,1,2,3,4,5,6,7,8,9,10,11
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,104,31,344,61,177,91,330,121,301,151,15
2,120,32,43,62,26,92,20,122,26,152,17
3,170,33,5,63,230,93,90,123,65,153,25
4,50,34,79,64,115,94,88,124,181,154,55
5,54,35,-5,65,516,95,120,125,326,155,17
6,94,36,70,66,41,96,18,126,62,,
7,171,37,449,67,60,97,75,127,83,,
8,10,38,149,68,89,98,97,128,-8,,
9,87,39,126,69,159,99,261,129,46,,
10,56,40,58,70,75,100,62,130,47,,
11,200,41,40,71,72,101,110,131,162,,
12,68,42,95,72,88,102,73,132,100,,
13,5,43,95,73,19,103,161,133,106,,
14,90,44,48,74,109,104,107,134,304,,
15,51,45,207,75,82,105,16,135,81,,
16,219,46,58,76,58,106,80,136,37,,
17,381,47,609,77,5,107,82,137,118,,
18,11,48,60,78,116,108,256,138,-1,,
19,352,49,215,79,100,109,473,139,12,,
20,26,50,30,80,121,110,-15,140,130,,
21,117,51,70,81,45,111,55,141,35,,
22,0,52,57,82,95,112,10,142,51,,
23,76,53,163,83,50,113,194,143,8,,
24,91,54,60,84,55,114,51,144,60,,
25,78,55,321,85,50,115,34,145,222,,
26,164,56,58,86,232,116,48,146,25,,
27,59,57,10,87,341,117,195,147,75,,
28,25,58,4,88,70,118,107,148,245,,
29,90,59,45,89,20,119,21,149,155,,
30,305,60,113,90,28,120,80,150,115,,
