0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"KOZHIKODE/CALICUT,",KERALA,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,491,31,52,61,279,91,215,121,140,151,123,181,222,211,26
2,386,32,95,62,80,92,528,122,352,152,168,182,110,212,53
3,293,33,185,63,425,93,427,123,104,153,212,183,42,213,92
4,457,34,581,64,188,94,50,124,262,154,353,184,385,214,314
5,260,35,379,65,215,95,512,125,120,155,632,185,110,215,306
6,123,36,330,66,561,96,575,126,153,156,693,186,205,216,422
7,343,37,205,67,182,97,504,127,145,157,106,187,167,217,314
8,419,38,588,68,693,98,296,128,91,158,127,188,176,218,70
9,289,39,121,69,189,99,204,129,327,159,459,189,290,219,66
10,123,40,81,70,143,100,476,130,95,160,204,190,113,220,102
11,427,41,84,71,551,101,96,131,242,161,158,191,678,221,119
12,563,42,91,72,179,102,441,132,224,162,620,192,565,222,378
13,260,43,86,73,235,103,169,133,128,163,430,193,258,223,112
14,95,44,78,74,76,104,205,134,540,164,219,194,299,224,405
15,275,45,178,75,393,105,321,135,407,165,510,195,529,225,340
16,537,46,107,76,220,106,163,136,29,166,103,196,38,226,273
17,177,47,134,77,565,107,224,137,182,167,238,197,552,227,251
18,392,48,336,78,238,108,340,138,44,168,421,198,323,228,203
19,496,49,442,79,705,109,55,139,115,169,228,199,184,229,115
20,191,50,152,80,135,110,632,140,90,170,605,200,359,230,77
21,202,51,42,81,172,111,150,141,7,171,138,201,85,231,508
22,521,52,378,82,294,112,151,142,525,172,606,202,163,,
23,622,53,166,83,75,113,145,143,515,173,87,203,449,,
24,67,54,125,84,141,114,129,144,336,174,169,204,163,,
25,96,55,223,85,651,115,245,145,672,175,136,205,267,,
26,245,56,686,86,355,116,328,146,239,176,21,206,410,,
27,103,57,184,87,387,117,58,147,665,177,614,207,280,,
28,650,58,36,88,616,118,342,148,479,178,80,208,231,,
29,283,59,686,89,93,119,84,149,94,179,386,209,81,,
30,412,60,389,90,204,120,199,150,301,180,250,210,58,,
