0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,64,31,146,61,321,91,189,121,67,151,156,181,215,211,99
2,104,32,155,62,110,92,39,122,186,152,29,182,19,212,490
3,331,33,124,63,104,93,173,123,551,153,80,183,75,213,32
4,90,34,71,64,96,94,45,124,153,154,119,184,359,214,269
5,224,35,89,65,182,95,79,125,92,155,30,185,67,215,296
6,259,36,366,66,171,96,21,126,95,156,321,186,155,216,171
7,99,37,261,67,439,97,501,127,222,157,339,187,109,217,65
8,258,38,137,68,140,98,123,128,182,158,392,188,185,218,338
9,289,39,43,69,70,99,438,129,87,159,79,189,165,219,76
10,70,40,292,70,183,100,313,130,117,160,577,190,217,220,172
11,624,41,320,71,373,101,115,131,284,161,417,191,339,221,103
12,292,42,125,72,292,102,32,132,73,162,97,192,389,222,164
13,47,43,269,73,334,103,88,133,266,163,44,193,150,223,72
14,99,44,114,74,138,104,204,134,365,164,90,194,204,224,345
15,169,45,246,75,53,105,52,135,223,165,5,195,172,225,391
16,330,46,510,76,134,106,61,136,55,166,77,196,212,226,319
17,356,47,78,77,180,107,70,137,303,167,337,197,175,227,435
18,417,48,52,78,216,108,55,138,280,168,266,198,415,228,95
19,65,49,187,79,132,109,368,139,129,169,378,199,120,229,96
20,224,50,230,80,199,110,218,140,45,170,388,200,41,230,234
21,109,51,118,81,369,111,35,141,151,171,66,201,178,231,277
22,75,52,56,82,185,112,323,142,504,172,91,202,344,232,148
23,77,53,33,83,174,113,333,143,102,173,213,203,445,233,71
24,86,54,250,84,324,114,451,144,322,174,115,204,55,234,590
25,96,55,253,85,180,115,107,145,88,175,126,205,270,235,211
26,18,56,64,86,20,116,40,146,121,176,92,206,104,,
27,151,57,69,87,159,117,85,147,241,177,338,207,130,,
28,188,58,201,88,220,118,193,148,593,178,40,208,223,,
29,32,59,40,89,94,119,72,149,247,179,115,209,332,,
30,68,60,259,90,354,120,60,150,38,180,205,210,427,,
