0,1,2,3,4,5,6,7,8,9,10,11
PRADESH,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,111,31,57,61,75,91,86,121,197,151,61
2,31,32,80,62,15,92,67,122,50,152,475
3,117,33,98,63,55,93,-30,123,167,153,59
4,149,34,30,64,46,94,0,124,65,154,167
5,111,35,57,65,371,95,15,125,135,155,85
6,78,36,227,66,157,96,107,126,50,156,74
7,12,37,84,67,31,97,251,127,50,157,46
8,51,38,112,68,208,98,42,128,60,158,94
9,187,39,12,69,150,99,71,129,231,159,61
10,108,40,66,70,0,100,61,130,29,160,45
11,46,41,37,71,62,101,101,131,72,,
12,117,42,35,72,70,102,115,132,74,,
13,199,43,79,73,69,103,41,133,92,,
14,94,44,139,74,56,104,50,134,46,,
15,127,45,131,75,71,105,103,135,24,,
16,122,46,75,76,70,106,150,136,9,,
17,47,47,105,77,76,107,75,137,106,,
18,110,48,97,78,242,108,74,138,267,,
19,31,49,67,79,30,109,85,139,70,,
20,62,50,79,80,318,110,414,140,96,,
21,64,51,83,81,49,111,110,141,84,,
22,70,52,45,82,60,112,253,142,35,,
23,43,53,128,83,4,113,56,143,198,,
24,85,54,46,84,110,114,41,144,71,,
25,129,55,90,85,143,115,234,145,173,,
26,49,56,-1,86,30,116,189,146,89,,
27,450,57,130,87,88,117,58,147,5,,
28,5,58,48,88,10,118,39,148,156,,
29,25,59,394,89,237,119,34,149,5,,
30,76,60,68,90,298,120,70,150,89,,
