0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,51,31,390,61,61,91,124
2,651,32,446,62,150,92,196
3,51,33,392,63,100,93,30
4,451,34,83,64,93,94,176
5,606,35,78,65,51,95,558
6,169,36,185,66,136,96,316
7,60,37,536,67,58,97,47
8,260,38,191,68,59,98,118
9,92,39,82,69,459,99,21
10,509,40,92,70,191,100,92
11,160,41,505,71,115,101,431
12,109,42,185,72,102,102,195
13,52,43,470,73,95,103,19
14,425,44,91,74,416,104,55
15,341,45,339,75,256,105,42
16,2,46,72,76,233,106,130
17,595,47,281,77,151,107,133
18,434,48,147,78,66,108,105
19,273,49,502,79,100,109,90
20,65,50,182,80,31,110,9
21,40,51,80,81,316,111,209
22,440,52,130,82,122,112,149
23,25,53,320,83,193,113,124
24,41,54,188,84,75,114,126
25,224,55,121,85,184,115,105
26,398,56,100,86,257,116,457
27,133,57,65,87,69,,
28,75,58,67,88,255,,
29,185,59,91,89,259,,
30,265,60,215,90,49,,
