0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,138,31,114,61,91,91,46
2,88,32,199,62,30,92,59
3,111,33,126,63,95,93,91
4,391,34,96,64,259,94,62
5,172,35,121,65,192,95,271
6,140,36,88,66,75,96,302
7,187,37,113,67,65,97,207
8,219,38,256,68,83,98,140
9,284,39,232,69,40,99,656
10,195,40,324,70,84,100,54
11,179,41,308,71,110,101,199
12,462,42,123,72,185,102,262
13,129,43,180,73,95,103,380
14,221,44,30,74,441,104,75
15,116,45,54,75,100,105,114
16,160,46,651,76,43,106,461
17,45,47,79,77,57,107,101
18,335,48,58,78,98,108,57
19,64,49,56,79,213,109,208
20,624,50,95,80,98,110,56
21,61,51,45,81,104,111,117
22,65,52,179,82,100,112,29
23,126,53,179,83,68,113,7
24,256,54,48,84,94,114,509
25,235,55,231,85,102,115,174
26,65,56,310,86,40,,
27,349,57,34,87,380,,
28,35,58,98,88,285,,
29,69,59,265,89,40,,
30,74,60,279,90,17,,
