0,1,2,3,4,5,6,7,8,9,10,11
"KARNATAKA,","UDUPI/MANIPAL,",KARNATAKA,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,362,31,311,61,130,91,125,121,341,151,201
2,227,32,605,62,279,92,166,122,196,152,86
3,316,33,227,63,497,93,100,123,343,153,199
4,120,34,97,64,258,94,647,124,612,154,220
5,212,35,485,65,115,95,222,125,294,155,601
6,184,36,95,66,86,96,354,126,182,156,83
7,185,37,341,67,87,97,411,127,408,157,291
8,313,38,277,68,191,98,105,128,279,158,296
9,-5,39,95,69,164,99,642,129,117,,
10,67,40,331,70,338,100,176,130,208,,
11,432,41,218,71,291,101,263,131,293,,
12,548,42,407,72,100,102,420,132,191,,
13,142,43,621,73,265,103,192,133,51,,
14,113,44,78,74,261,104,435,134,608,,
15,90,45,568,75,251,105,216,135,130,,
16,73,46,73,76,409,106,159,136,460,,
17,135,47,489,77,251,107,254,137,54,,
18,29,48,225,78,532,108,131,138,340,,
19,426,49,231,79,349,109,408,139,172,,
20,172,50,568,80,195,110,357,140,108,,
21,553,51,94,81,155,111,32,141,529,,
22,358,52,104,82,629,112,480,142,228,,
23,127,53,528,83,267,113,696,143,198,,
24,350,54,468,84,191,114,471,144,287,,
25,363,55,101,85,446,115,292,145,243,,
26,83,56,64,86,85,116,356,146,452,,
27,257,57,57,87,135,117,255,147,68,,
28,156,58,165,88,594,118,88,148,55,,
29,652,59,157,89,505,119,110,149,291,,
30,631,60,168,90,219,120,354,150,89,,
