0,1,2,3,4,5,6,7,8,9,10,11
KARNATAKA,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,567,31,200,61,201,91,147,121,370,151,233
2,98,32,155,62,221,92,20,122,113,152,180
3,228,33,351,63,494,93,201,123,35,153,525
4,245,34,198,64,230,94,320,124,25,154,251
5,140,35,-9,65,125,95,103,125,120,155,120
6,119,36,104,66,173,96,115,126,344,156,191
7,71,37,430,67,115,97,182,127,185,157,385
8,144,38,235,68,529,98,155,128,104,158,249
9,114,39,145,69,40,99,96,129,174,159,100
10,235,40,290,70,79,100,126,130,84,160,142
11,149,41,306,71,93,101,316,131,203,161,229
12,446,42,165,72,70,102,156,132,38,162,265
13,85,43,107,73,231,103,560,133,111,163,114
14,96,44,174,74,55,104,540,134,196,164,55
15,623,45,60,75,154,105,172,135,67,165,46
16,40,46,397,76,464,106,236,136,168,166,199
17,210,47,67,77,151,107,185,137,133,167,133
18,95,48,412,78,62,108,183,138,100,168,73
19,61,49,225,79,60,109,180,139,174,169,55
20,265,50,457,80,35,110,61,140,237,170,59
21,219,51,70,81,135,111,170,141,185,171,394
22,110,52,36,82,279,112,146,142,76,172,111
23,185,53,201,83,478,113,55,143,112,173,368
24,180,54,207,84,595,114,35,144,114,174,253
25,580,55,61,85,70,115,99,145,176,175,675
26,110,56,279,86,227,116,309,146,85,176,108
27,114,57,298,87,596,117,91,147,135,177,207
28,66,58,117,88,271,118,73,148,37,178,153
29,70,59,169,89,130,119,77,149,54,179,407
30,686,60,45,90,282,120,359,150,181,,
