0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,75,31,20,61,627,91,260
2,35,32,9,62,32,92,55
3,198,33,167,63,140,93,125
4,128,34,118,64,115,94,104
5,364,35,269,65,89,95,170
6,111,36,215,66,190,96,128
7,160,37,116,67,65,97,32
8,211,38,110,68,105,98,112
9,53,39,188,69,100,99,31
10,51,40,37,70,47,100,63
11,115,41,105,71,282,101,495
12,138,42,27,72,46,102,101
13,53,43,38,73,217,103,35
14,85,44,321,74,83,104,520
15,187,45,78,75,638,105,10
16,72,46,141,76,80,106,45
17,205,47,73,77,55,107,30
18,28,48,107,78,125,108,65
19,143,49,66,79,206,109,98
20,118,50,19,80,207,110,536
21,58,51,17,81,214,111,139
22,120,52,296,82,218,112,14
23,18,53,28,83,35,113,95
24,68,54,488,84,70,114,145
25,69,55,5,85,89,115,135
26,118,56,55,86,395,116,125
27,203,57,226,87,593,117,21
28,62,58,127,88,332,118,119
29,80,59,72,89,380,119,92
30,148,60,44,90,530,120,12
