0,1,2,3,4,5,6,7,8,9,10,11
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,25,31,95,61,60,91,12,121,404,151,40
2,48,32,75,62,66,92,78,122,45,152,184
3,206,33,465,63,95,93,55,123,115,153,504
4,-7,34,64,64,60,94,60,124,50,154,42
5,134,35,74,65,612,95,46,125,254,155,100
6,50,36,220,66,95,96,46,126,139,156,237
7,36,37,70,67,620,97,206,127,210,157,34
8,330,38,59,68,120,98,325,128,321,158,80
9,46,39,55,69,275,99,252,129,648,159,149
10,36,40,485,70,425,100,367,130,50,160,194
11,18,41,107,71,353,101,191,131,152,161,311
12,157,42,162,72,398,102,80,132,275,162,141
13,85,43,49,73,661,103,380,133,121,163,329
14,90,44,156,74,188,104,365,134,218,164,20
15,95,45,310,75,242,105,69,135,293,165,261
16,163,46,129,76,50,106,225,136,5,166,258
17,274,47,111,77,56,107,116,137,338,167,247
18,41,48,116,78,36,108,117,138,392,168,6
19,38,49,36,79,135,109,100,139,41,169,123
20,621,50,51,80,101,110,60,140,43,170,142
21,68,51,243,81,40,111,571,141,102,,
22,50,52,500,82,92,112,59,142,5,,
23,355,53,45,83,71,113,285,143,89,,
24,386,54,29,84,159,114,14,144,30,,
25,280,55,235,85,125,115,18,145,26,,
26,142,56,60,86,63,116,198,146,79,,
27,51,57,45,87,26,117,79,147,419,,
28,15,58,119,88,17,118,209,148,85,,
29,74,59,406,89,71,119,124,149,535,,
30,454,60,65,90,72,120,59,150,93,,
