0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
PGS,PIN,"743330,",SOUTH,24,"PARGANAS,",WEST,BENGAL,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,384,31,62,61,152,91,269,121,83,151,157,181,284,211,64,241,13
2,105,32,550,62,111,92,58,122,406,152,95,182,73,212,139,242,103
3,143,33,73,63,75,93,76,123,96,153,111,183,63,213,90,243,600
4,168,34,257,64,299,94,318,124,44,154,423,184,80,214,133,244,101
5,32,35,123,65,105,95,558,125,76,155,163,185,284,215,438,245,45
6,603,36,188,66,272,96,81,126,150,156,24,186,67,216,75,246,229
7,83,37,82,67,29,97,69,127,217,157,82,187,203,217,163,247,50
8,255,38,303,68,91,98,47,128,301,158,306,188,391,218,85,248,40
9,193,39,171,69,110,99,222,129,38,159,96,189,188,219,25,249,58
10,70,40,115,70,75,100,241,130,353,160,64,190,41,220,40,250,67
11,52,41,99,71,15,101,83,131,107,161,614,191,98,221,22,251,596
12,82,42,8,72,139,102,200,132,57,162,37,192,198,222,115,252,91
13,114,43,300,73,79,103,117,133,19,163,41,193,184,223,128,,
14,132,44,42,74,70,104,134,134,233,164,61,194,89,224,74,,
15,136,45,19,75,154,105,222,135,78,165,516,195,221,225,359,,
16,60,46,33,76,128,106,120,136,85,166,463,196,399,226,40,,
17,261,47,256,77,130,107,84,137,262,167,642,197,30,227,113,,
18,65,48,563,78,65,108,136,138,78,168,42,198,255,228,23,,
19,49,49,146,79,80,109,286,139,140,169,101,199,108,229,117,,
20,332,50,141,80,104,110,122,140,113,170,81,200,310,230,84,,
21,64,51,129,81,113,111,103,141,207,171,527,201,164,231,238,,
22,18,52,36,82,175,112,149,142,85,172,195,202,149,232,124,,
23,26,53,57,83,490,113,167,143,16,173,57,203,680,233,30,,
24,236,54,392,84,140,114,200,144,442,174,119,204,466,234,129,,
25,242,55,73,85,185,115,179,145,109,175,570,205,99,235,74,,
26,51,56,32,86,101,116,675,146,388,176,206,206,371,236,143,,
27,41,57,110,87,229,117,58,147,124,177,116,207,184,237,291,,
28,89,58,85,88,180,118,121,148,54,178,145,208,164,238,283,,
29,120,59,202,89,99,119,88,149,86,179,105,209,78,239,84,,
30,87,60,279,90,96,120,142,150,286,180,119,210,195,240,51,,
