0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,553,31,259,61,118,91,201,121,115,151,115,181,93
2,293,32,139,62,65,92,79,122,158,152,51,182,506
3,108,33,154,63,75,93,513,123,142,153,43,183,13
4,50,34,117,64,84,94,131,124,218,154,80,184,75
5,85,35,137,65,491,95,239,125,202,155,45,185,150
6,235,36,101,66,91,96,68,126,50,156,540,186,248
7,82,37,193,67,74,97,388,127,278,157,144,187,540
8,85,38,66,68,441,98,80,128,665,158,70,188,118
9,117,39,133,69,191,99,207,129,108,159,83,189,314
10,669,40,162,70,33,100,163,130,119,160,71,190,114
11,372,41,422,71,205,101,50,131,75,161,151,191,136
12,80,42,62,72,300,102,284,132,54,162,120,192,402
13,245,43,705,73,153,103,27,133,277,163,161,193,141
14,428,44,83,74,28,104,315,134,215,164,266,194,109
15,105,45,619,75,50,105,175,135,155,165,342,195,71
16,275,46,309,76,40,106,85,136,70,166,101,196,133
17,613,47,144,77,154,107,124,137,301,167,60,197,39
18,158,48,90,78,50,108,223,138,89,168,72,198,213
19,174,49,92,79,259,109,291,139,107,169,103,199,504
20,198,50,339,80,600,110,155,140,98,170,75,200,160
21,71,51,212,81,158,111,217,141,224,171,115,201,88
22,231,52,156,82,162,112,16,142,77,172,80,202,180
23,179,53,75,83,183,113,216,143,37,173,55,203,88
24,39,54,100,84,31,114,88,144,434,174,51,,
25,505,55,45,85,76,115,16,145,442,175,77,,
26,108,56,523,86,538,116,257,146,121,176,381,,
27,161,57,149,87,80,117,280,147,143,177,482,,
28,33,58,120,88,252,118,136,148,88,178,56,,
29,62,59,407,89,142,119,263,149,127,179,227,,
30,392,60,69,90,110,120,46,150,15,180,460,,
