0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,
1,136,31,125,61,229,91,59,121,316,151,15,181,237,211,172,241,343,271,464,,,,,
2,311,32,418,62,104,92,250,122,297,152,167,182,263,212,222,242,137,272,328,,,,,
3,243,33,610,63,301,93,-2,123,120,153,402,183,130,213,169,243,312,273,77,,,,,
4,514,34,252,64,362,94,140,124,107,154,328,184,94,214,71,244,318,274,531,,,,,
5,609,35,289,65,554,95,20,125,105,155,297,185,214,215,116,245,127,275,155,,,,,
6,256,36,101,66,147,96,105,126,219,156,518,186,186,216,67,246,249,276,248,,,,,
7,66,37,508,67,150,97,480,127,211,157,50,187,296,217,178,247,109,277,23,,,,,
8,46,38,46,68,72,98,241,128,71,158,347,188,114,218,70,248,142,278,486,,,,,
9,33,39,240,69,199,99,695,129,572,159,538,189,77,219,111,249,379,279,110,,,,,
10,99,40,144,70,621,100,55,130,78,160,98,190,23,220,199,250,113,280,116,,,,,
11,60,41,257,71,295,101,284,131,96,161,248,191,421,221,507,251,102,281,425,,,,,
12,35,42,63,72,50,102,169,132,500,162,174,192,299,222,46,252,118,282,514,,,,,
13,299,43,501,73,630,103,454,133,587,163,288,193,564,223,686,253,292,283,171,,,,,
14,372,44,277,74,430,104,111,134,147,164,185,194,181,224,221,254,207,284,137,,,,,
15,239,45,136,75,40,105,332,135,180,165,13,195,197,225,244,255,156,285,63,,,,,
16,223,46,241,76,51,106,174,136,446,166,294,196,199,226,66,256,140,286,157,,,,,
17,160,47,532,77,20,107,162,137,64,167,443,197,181,227,115,257,106,287,80,,,,,
18,603,48,208,78,72,108,119,138,423,168,381,198,85,228,247,258,320,288,296,,,,,
19,60,49,35,79,607,109,59,139,298,169,220,199,449,229,85,259,188,289,134,,,,,
20,117,50,86,80,13,110,240,140,145,170,96,200,116,230,295,260,58,290,70,,,,,
21,96,51,256,81,180,111,626,141,203,171,268,201,553,231,139,261,15,291,604,,,,,
22,41,52,250,82,70,112,360,142,303,172,237,202,550,232,171,262,132,292,44,,,,,
23,115,53,135,83,657,113,223,143,52,173,125,203,183,233,119,263,174,293,304,,,,,
24,659,54,96,84,284,114,343,144,65,174,170,204,52,234,564,264,111,294,115,,,,,
25,89,55,133,85,330,115,274,145,244,175,70,205,84,235,55,265,120,295,295,,,,,
26,95,56,523,86,3,116,81,146,487,176,559,206,16,236,554,266,600,296,84,,,,,
27,333,57,60,87,350,117,355,147,441,177,16,207,227,237,368,267,165,297,75,,,,,
28,238,58,77,88,562,118,322,148,281,178,36,208,30,238,295,268,62,298,584,,,,,
29,44,59,327,89,351,119,110,149,250,179,42,209,118,239,423,269,588,299,183,,,,,
30,462,60,239,90,568,120,599,150,133,180,434,210,97,240,338,270,428,300,327,,,,,
Centre:,440819,CENTRAL,ACADEMY,SEC,3,JANKIPURAM,LUCKNOW,"UP,",CENTRAL,ACADEMY,SECTOR,3,JANKIPURAM,VISTAR,LUCKNOW,UTTAR,"PRADESH,","LUCKNOW,",NEET,(UG),2024,Page,No.,2
UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,
301,130,331,137,361,12,391,21,421,79,451,189,481,142,511,583,541,112,571,70,,,,,
302,119,332,279,362,64,392,579,422,45,452,120,482,45,512,92,542,56,572,326,,,,,
303,255,333,511,363,193,393,99,423,304,453,365,483,160,513,140,543,84,573,219,,,,,
304,675,334,124,364,366,394,200,424,615,454,188,484,246,514,144,544,97,574,300,,,,,
305,31,335,60,365,246,395,657,425,100,455,136,485,447,515,148,545,113,575,175,,,,,
306,136,336,157,366,453,396,145,426,297,456,125,486,137,516,39,546,547,576,223,,,,,
307,55,337,130,367,337,397,398,427,80,457,91,487,140,517,192,547,-6,577,126,,,,,
308,63,338,35,368,39,398,582,428,392,458,343,488,116,518,39,548,560,578,59,,,,,
309,113,339,147,369,91,399,63,429,58,459,352,489,15,519,30,549,66,579,70,,,,,
310,83,340,309,370,173,400,554,430,130,460,211,490,267,520,587,550,141,580,364,,,,,
311,62,341,366,371,159,401,323,431,56,461,375,491,182,521,57,551,129,581,174,,,,,
312,590,342,241,372,459,402,154,432,27,462,166,492,247,522,486,552,138,582,192,,,,,
313,200,343,214,373,209,403,588,433,195,463,104,493,606,523,302,553,61,583,26,,,,,
314,304,344,75,374,295,404,318,434,486,464,105,494,694,524,208,554,114,584,175,,,,,
315,208,345,577,375,254,405,220,435,84,465,499,495,244,525,69,555,306,585,175,,,,,
316,317,346,46,376,119,406,212,436,307,466,151,496,138,526,265,556,232,586,148,,,,,
317,59,347,70,377,266,407,215,437,63,467,266,497,262,527,263,557,489,587,160,,,,,
318,42,348,4,378,506,408,124,438,233,468,232,498,459,528,81,558,231,588,86,,,,,
319,459,349,424,379,351,409,51,439,200,469,307,499,166,529,113,559,382,589,213,,,,,
320,71,350,581,380,85,410,270,440,400,470,100,500,41,530,405,560,623,590,124,,,,,
321,175,351,238,381,27,411,78,441,90,471,292,501,238,531,264,561,134,591,116,,,,,
322,85,352,91,382,77,412,29,442,78,472,248,502,605,532,204,562,278,592,345,,,,,
323,80,353,214,383,355,413,355,443,371,473,154,503,114,533,605,563,86,593,160,,,,,
324,155,354,123,384,564,414,65,444,101,474,136,504,601,534,268,564,431,594,347,,,,,
325,101,355,46,385,161,415,124,445,344,475,185,505,290,535,646,565,102,595,398,,,,,
326,29,356,191,386,100,416,87,446,212,476,47,506,47,536,374,566,7,596,90,,,,,
327,57,357,65,387,265,417,225,447,85,477,159,507,128,537,235,567,44,597,56,,,,,
328,507,358,116,388,50,418,60,448,258,478,162,508,35,538,140,568,97,598,291,,,,,
329,256,359,70,389,581,419,110,449,189,479,132,509,297,539,34,569,531,599,587,,,,,
330,152,360,108,390,205,420,194,450,216,480,484,510,617,540,69,570,454,600,215,,,,,
Centre:,440819,CENTRAL,ACADEMY,SEC,3,JANKIPURAM,LUCKNOW,"UP,",CENTRAL,ACADEMY,SECTOR,3,JANKIPURAM,VISTAR,LUCKNOW,UTTAR,"PRADESH,","LUCKNOW,",NEET,(UG),2024,Page,No.,3
UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,
601,114,631,653,661,72,691,120,,,,,,,,,,,,,,,,,
602,182,632,161,662,264,692,274,,,,,,,,,,,,,,,,,
603,161,633,51,663,63,693,254,,,,,,,,,,,,,,,,,
604,466,634,165,664,58,694,314,,,,,,,,,,,,,,,,,
605,58,635,637,665,126,695,462,,,,,,,,,,,,,,,,,
606,376,636,61,666,182,696,85,,,,,,,,,,,,,,,,,
607,74,637,54,667,181,697,67,,,,,,,,,,,,,,,,,
608,369,638,449,668,139,698,440,,,,,,,,,,,,,,,,,
609,15,639,114,669,38,699,100,,,,,,,,,,,,,,,,,
610,39,640,127,670,228,700,457,,,,,,,,,,,,,,,,,
611,93,641,45,671,179,701,364,,,,,,,,,,,,,,,,,
612,124,642,401,672,185,702,226,,,,,,,,,,,,,,,,,
613,157,643,432,673,162,703,178,,,,,,,,,,,,,,,,,
614,94,644,180,674,39,704,60,,,,,,,,,,,,,,,,,
615,128,645,99,675,204,705,35,,,,,,,,,,,,,,,,,
616,255,646,188,676,138,706,49,,,,,,,,,,,,,,,,,
617,333,647,635,677,185,,,,,,,,,,,,,,,,,,,
618,265,648,87,678,68,,,,,,,,,,,,,,,,,,,
619,135,649,370,679,29,,,,,,,,,,,,,,,,,,,
620,232,650,288,680,352,,,,,,,,,,,,,,,,,,,
621,109,651,57,681,540,,,,,,,,,,,,,,,,,,,
622,259,652,107,682,189,,,,,,,,,,,,,,,,,,,
623,59,653,507,683,96,,,,,,,,,,,,,,,,,,,
624,110,654,106,684,11,,,,,,,,,,,,,,,,,,,
625,92,655,456,685,572,,,,,,,,,,,,,,,,,,,
626,509,656,87,686,285,,,,,,,,,,,,,,,,,,,
627,36,657,121,687,631,,,,,,,,,,,,,,,,,,,
628,294,658,81,688,183,,,,,,,,,,,,,,,,,,,
629,299,659,340,689,10,,,,,,,,,,,,,,,,,,,
630,132,660,50,690,322,,,,,,,,,,,,,,,,,,,
