0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,81,31,27,61,85,91,107
2,392,32,6,62,495,92,275
3,89,33,11,63,26,93,45
4,105,34,362,64,79,94,535
5,526,35,569,65,72,95,451
6,93,36,519,66,190,96,46
7,45,37,423,67,46,97,53
8,76,38,45,68,44,98,47
9,69,39,45,69,147,99,85
10,170,40,151,70,8,100,69
11,27,41,430,71,46,101,21
12,115,42,66,72,76,102,601
13,36,43,86,73,98,103,291
14,209,44,545,74,94,104,186
15,120,45,63,75,92,,
16,70,46,102,76,150,,
17,17,47,335,77,50,,
18,180,48,64,78,516,,
19,35,49,62,79,50,,
20,613,50,639,80,120,,
21,195,51,145,81,98,,
22,215,52,35,82,265,,
23,178,53,198,83,43,,
24,178,54,313,84,96,,
25,95,55,283,85,300,,
26,155,56,49,86,64,,
27,645,57,655,87,326,,
28,485,58,210,88,95,,
29,98,59,247,89,134,,
30,139,60,100,90,13,,
