0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,39,31,209,61,28,91,107,121,198,151,366,181,383
2,105,32,37,62,312,92,23,122,58,152,397,182,152
3,217,33,125,63,99,93,242,123,74,153,87,183,80
4,397,34,60,64,266,94,60,124,105,154,142,184,534
5,245,35,30,65,132,95,83,125,45,155,402,185,121
6,335,36,46,66,50,96,129,126,138,156,129,186,49
7,130,37,308,67,189,97,86,127,136,157,120,187,151
8,73,38,103,68,54,98,78,128,111,158,38,188,506
9,105,39,93,69,40,99,588,129,236,159,178,,
10,59,40,50,70,398,100,425,130,145,160,18,,
11,217,41,379,71,288,101,35,131,121,161,601,,
12,219,42,96,72,222,102,138,132,366,162,120,,
13,69,43,120,73,113,103,215,133,356,163,127,,
14,318,44,21,74,101,104,251,134,35,164,79,,
15,91,45,75,75,244,105,90,135,174,165,117,,
16,332,46,502,76,193,106,189,136,459,166,94,,
17,66,47,150,77,91,107,85,137,272,167,147,,
18,11,48,203,78,139,108,57,138,175,168,172,,
19,133,49,330,79,401,109,87,139,102,169,90,,
20,129,50,141,80,115,110,98,140,108,170,199,,
21,94,51,584,81,81,111,136,141,68,171,91,,
22,47,52,505,82,87,112,478,142,89,172,321,,
23,571,53,60,83,62,113,175,143,87,173,126,,
24,355,54,119,84,177,114,563,144,104,174,301,,
25,16,55,67,85,180,115,98,145,90,175,234,,
26,100,56,78,86,268,116,296,146,85,176,50,,
27,301,57,51,87,647,117,347,147,59,177,229,,
28,22,58,183,88,69,118,117,148,79,178,91,,
29,531,59,122,89,122,119,38,149,111,179,290,,
30,90,60,130,90,69,120,124,150,180,180,36,,
