0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
PRADESH,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,
1,20,31,633,61,244,91,130,121,55,151,273,181,301,211,152,241,73,271,608,,,,,
2,165,32,302,62,156,92,97,122,36,152,41,182,250,212,387,242,443,272,4,,,,,
3,103,33,145,63,43,93,389,123,577,153,450,183,632,213,100,243,118,273,97,,,,,
4,339,34,402,64,602,94,85,124,111,154,321,184,138,214,394,244,177,274,457,,,,,
5,204,35,101,65,120,95,308,125,215,155,56,185,171,215,192,245,645,275,155,,,,,
6,144,36,513,66,250,96,80,126,384,156,530,186,191,216,315,246,50,276,642,,,,,
7,67,37,114,67,54,97,76,127,73,157,246,187,168,217,667,247,400,277,526,,,,,
8,96,38,143,68,116,98,90,128,289,158,212,188,407,218,82,248,143,278,175,,,,,
9,215,39,20,69,80,99,300,129,422,159,202,189,222,219,623,249,115,279,493,,,,,
10,589,40,215,70,115,100,9,130,373,160,80,190,318,220,290,250,281,280,81,,,,,
11,148,41,13,71,87,101,362,131,57,161,118,191,347,221,117,251,117,281,215,,,,,
12,337,42,251,72,545,102,434,132,478,162,138,192,58,222,321,252,125,282,33,,,,,
13,597,43,243,73,46,103,198,133,111,163,585,193,177,223,311,253,33,283,242,,,,,
14,614,44,614,74,89,104,94,134,198,164,423,194,610,224,654,254,146,284,341,,,,,
15,255,45,72,75,74,105,142,135,295,165,205,195,151,225,111,255,270,285,182,,,,,
16,70,46,423,76,245,106,111,136,50,166,209,196,56,226,71,256,55,286,59,,,,,
17,394,47,66,77,120,107,587,137,52,167,569,197,262,227,10,257,251,287,646,,,,,
18,241,48,115,78,91,108,30,138,103,168,273,198,105,228,199,258,342,288,56,,,,,
19,99,49,34,79,255,109,466,139,69,169,149,199,97,229,329,259,618,289,165,,,,,
20,161,50,98,80,363,110,217,140,102,170,63,200,374,230,593,260,670,290,206,,,,,
21,329,51,581,81,140,111,592,141,242,171,30,201,156,231,415,261,303,291,145,,,,,
22,135,52,50,82,423,112,497,142,128,172,122,202,135,232,164,262,517,292,140,,,,,
23,247,53,232,83,466,113,274,143,121,173,13,203,70,233,157,263,598,293,115,,,,,
24,-5,54,172,84,71,114,291,144,25,174,98,204,100,234,422,264,84,294,480,,,,,
