0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,71,31,354,61,80,91,47
2,360,32,186,62,75,92,58
3,55,33,100,63,40,93,503
4,249,34,70,64,96,94,128
5,89,35,68,65,33,95,19
6,80,36,40,66,89,96,86
7,120,37,43,67,51,97,107
8,149,38,102,68,46,98,315
9,42,39,138,69,63,99,127
10,12,40,491,70,229,100,257
11,102,41,95,71,64,101,40
12,90,42,122,72,106,102,66
13,106,43,21,73,22,103,109
14,100,44,16,74,125,104,66
15,10,45,71,75,62,105,64
16,140,46,140,76,9,106,206
17,311,47,90,77,115,107,118
18,6,48,-5,78,341,108,229
19,115,49,94,79,406,109,60
20,69,50,440,80,66,110,114
21,248,51,11,81,124,111,443
22,37,52,197,82,70,112,70
23,40,53,138,83,157,113,33
24,75,54,104,84,40,114,70
25,372,55,87,85,70,115,61
26,77,56,312,86,77,,
27,271,57,71,87,71,,
28,169,58,120,88,250,,
29,131,59,131,89,40,,
30,135,60,60,90,165,,
