0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
"BALLIA,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,
1,4,31,130,61,58,91,176,121,93,151,128,181,45,211,7,241,45,271,133,,,,,,,,,,
2,188,32,327,62,37,92,97,122,128,152,178,182,563,212,255,242,87,272,65,,,,,,,,,,
3,130,33,85,63,530,93,47,123,24,153,33,183,108,213,371,243,124,273,228,,,,,,,,,,
4,315,34,-4,64,75,94,105,124,87,154,40,184,185,214,88,244,81,274,195,,,,,,,,,,
5,221,35,123,65,361,95,64,125,150,155,82,185,309,215,181,245,46,275,347,,,,,,,,,,
6,315,36,65,66,31,96,158,126,171,156,594,186,203,216,82,246,70,276,145,,,,,,,,,,
7,82,37,55,67,139,97,-1,127,176,157,185,187,167,217,313,247,243,277,91,,,,,,,,,,
8,163,38,120,68,6,98,17,128,161,158,37,188,90,218,85,248,162,278,456,,,,,,,,,,
9,68,39,3,69,443,99,-9,129,58,159,25,189,692,219,623,249,217,279,54,,,,,,,,,,
10,49,40,76,70,215,100,294,130,230,160,31,190,66,220,23,250,121,280,80,,,,,,,,,,
11,146,41,471,71,372,101,19,131,133,161,-5,191,-35,221,251,251,41,281,49,,,,,,,,,,
12,299,42,117,72,132,102,86,132,205,162,199,192,31,222,593,252,105,282,440,,,,,,,,,,
13,62,43,150,73,31,103,68,133,152,163,70,193,243,223,199,253,62,283,335,,,,,,,,,,
14,291,44,231,74,263,104,25,134,132,164,245,194,95,224,130,254,402,284,578,,,,,,,,,,
15,84,45,110,75,44,105,115,135,65,165,177,195,236,225,60,255,161,285,216,,,,,,,,,,
16,110,46,61,76,515,106,191,136,131,166,170,196,176,226,48,256,115,286,135,,,,,,,,,,
17,492,47,104,77,544,107,81,137,150,167,1,197,315,227,48,257,36,287,106,,,,,,,,,,
18,34,48,75,78,128,108,249,138,68,168,65,198,26,228,32,258,279,288,49,,,,,,,,,,
19,65,49,152,79,9,109,74,139,119,169,223,199,76,229,71,259,209,289,140,,,,,,,,,,
20,105,50,142,80,50,110,51,140,22,170,355,200,160,230,195,260,55,290,365,,,,,,,,,,
21,35,51,96,81,171,111,73,141,120,171,40,201,23,231,132,261,23,291,0,,,,,,,,,,
22,58,52,70,82,60,112,276,142,162,172,299,202,350,232,108,262,43,292,49,,,,,,,,,,
23,48,53,152,83,250,113,39,143,71,173,35,203,535,233,417,263,59,293,102,,,,,,,,,,
24,269,54,247,84,64,114,27,144,32,174,128,204,65,234,292,264,127,294,161,,,,,,,,,,
25,137,55,120,85,430,115,421,145,96,175,144,205,105,235,27,265,42,295,61,,,,,,,,,,
26,264,56,126,86,275,116,86,146,142,176,101,206,38,236,130,266,50,296,107,,,,,,,,,,
27,225,57,177,87,119,117,81,147,88,177,277,207,131,237,161,267,544,297,71,,,,,,,,,,
28,90,58,21,88,164,118,52,148,220,178,122,208,88,238,34,268,295,298,70,,,,,,,,,,
29,135,59,40,89,344,119,11,149,186,179,110,209,149,239,132,269,60,299,5,,,,,,,,,,
30,95,60,117,90,207,120,145,150,83,180,57,210,105,240,126,270,148,300,160,,,,,,,,,,
Centre:,442204,GOPAL,JI,MEMORIAL,"SCHOOL,",GOPAL,JI,MEMORIAL,SCHOOL,REOTI,BALLIA,NEAR,REOTI,BUS,STAND,(ON,REOTI,TO,BAIRIYA,ROAD),BALLIA,277209,"U.P.,",NEET,(UG),2024,Page,No.,2
"BALLIA,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,,,,,,,,,
301,131,331,239,,,,,,,,,,,,,,,,,,,,,,,,,,
302,127,332,79,,,,,,,,,,,,,,,,,,,,,,,,,,
303,135,333,70,,,,,,,,,,,,,,,,,,,,,,,,,,
304,134,334,46,,,,,,,,,,,,,,,,,,,,,,,,,,
305,56,335,175,,,,,,,,,,,,,,,,,,,,,,,,,,
306,210,336,89,,,,,,,,,,,,,,,,,,,,,,,,,,
307,225,337,58,,,,,,,,,,,,,,,,,,,,,,,,,,
308,471,338,183,,,,,,,,,,,,,,,,,,,,,,,,,,
309,182,339,633,,,,,,,,,,,,,,,,,,,,,,,,,,
310,123,340,85,,,,,,,,,,,,,,,,,,,,,,,,,,
311,88,341,123,,,,,,,,,,,,,,,,,,,,,,,,,,
312,155,342,101,,,,,,,,,,,,,,,,,,,,,,,,,,
313,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
