0,1,2,3,4,5,6,7,8,9
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,616,31,180,61,490,91,68,121,183
2,15,32,430,62,62,92,90,122,36
3,265,33,78,63,360,93,17,123,176
4,61,34,156,64,23,94,279,124,272
5,23,35,162,65,32,95,346,125,141
6,208,36,17,66,58,96,60,126,11
7,113,37,177,67,103,97,127,127,498
8,61,38,213,68,265,98,64,128,259
9,51,39,18,69,189,99,5,129,168
10,164,40,80,70,552,100,166,130,122
11,64,41,110,71,72,101,185,131,454
12,109,42,53,72,56,102,15,132,275
13,27,43,288,73,44,103,92,133,89
14,110,44,20,74,85,104,90,134,329
15,131,45,38,75,160,105,48,135,223
16,104,46,70,76,176,106,554,136,493
17,76,47,32,77,53,107,68,137,182
18,372,48,72,78,136,108,80,138,125
19,162,49,33,79,120,109,121,139,53
20,117,50,85,80,321,110,118,,
21,293,51,45,81,133,111,324,,
22,338,52,25,82,114,112,283,,
23,67,53,542,83,184,113,147,,
24,40,54,477,84,60,114,534,,
25,130,55,65,85,201,115,101,,
26,276,56,52,86,110,116,0,,
27,109,57,211,87,71,117,50,,
28,55,58,20,88,70,118,89,,
29,33,59,647,89,296,119,115,,
30,374,60,416,90,328,120,117,,
