0,1,2,3,4,5,6,7,8,9,10,11
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,39,31,86,61,75,91,52,121,120,151,121
2,27,32,321,62,190,92,564,122,25,152,67
3,100,33,85,63,43,93,121,123,114,153,90
4,150,34,76,64,24,94,58,124,182,154,130
5,120,35,84,65,101,95,114,125,322,155,85
6,170,36,70,66,166,96,110,126,41,156,95
7,156,37,196,67,41,97,30,127,96,157,30
8,393,38,532,68,67,98,56,128,92,158,85
9,70,39,102,69,112,99,58,129,99,159,155
10,43,40,41,70,589,100,190,130,64,160,421
11,505,41,55,71,54,101,86,131,127,161,164
12,114,42,49,72,210,102,12,132,80,162,141
13,322,43,3,73,33,103,50,133,40,163,65
14,16,44,143,74,486,104,47,134,667,164,85
15,60,45,15,75,115,105,75,135,23,165,55
16,54,46,121,76,393,106,6,136,116,166,50
17,77,47,40,77,21,107,60,137,150,167,123
18,22,48,65,78,49,108,45,138,32,168,337
19,62,49,25,79,302,109,20,139,38,169,20
20,238,50,377,80,62,110,33,140,21,170,65
21,455,51,261,81,45,111,-10,141,159,171,60
22,55,52,117,82,60,112,172,142,258,172,154
23,31,53,72,83,204,113,105,143,36,173,-35
24,38,54,79,84,342,114,100,144,95,174,90
25,30,55,88,85,60,115,19,145,110,175,48
26,316,56,30,86,72,116,94,146,41,,
27,27,57,45,87,15,117,141,147,67,,
28,239,58,115,88,78,118,166,148,178,,
29,63,59,305,89,40,119,129,149,213,,
30,125,60,277,90,14,120,70,150,40,,
