0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,
1,55,31,164,61,88,91,342,121,177,151,43,181,72,211,236,241,101,271,234,,,,,,,
2,90,32,52,62,65,92,203,122,482,152,26,182,35,212,47,242,98,272,27,,,,,,,
3,172,33,235,63,75,93,200,123,84,153,77,183,230,213,31,243,108,273,310,,,,,,,
4,95,34,138,64,151,94,290,124,518,154,50,184,85,214,123,244,57,274,265,,,,,,,
5,108,35,651,65,85,95,646,125,119,155,366,185,95,215,140,245,559,275,108,,,,,,,
6,22,36,67,66,59,96,376,126,576,156,50,186,105,216,175,246,146,276,95,,,,,,,
7,210,37,212,67,70,97,76,127,337,157,182,187,216,217,30,247,166,277,215,,,,,,,
8,622,38,100,68,98,98,167,128,89,158,468,188,70,218,58,248,567,278,181,,,,,,,
9,131,39,82,69,110,99,46,129,52,159,648,189,237,219,42,249,106,279,15,,,,,,,
10,188,40,86,70,207,100,57,130,632,160,143,190,4,220,427,250,383,280,187,,,,,,,
11,119,41,118,71,59,101,64,131,72,161,588,191,17,221,449,251,100,281,163,,,,,,,
12,39,42,112,72,135,102,210,132,376,162,125,192,108,222,134,252,85,282,656,,,,,,,
13,87,43,406,73,186,103,125,133,122,163,355,193,187,223,29,253,36,283,219,,,,,,,
14,122,44,670,74,86,104,73,134,95,164,79,194,445,224,124,254,104,284,82,,,,,,,
15,613,45,112,75,232,105,70,135,610,165,155,195,600,225,135,255,498,285,64,,,,,,,
16,231,46,256,76,131,106,605,136,245,166,381,196,223,226,233,256,142,286,376,,,,,,,
17,252,47,51,77,182,107,217,137,238,167,143,197,154,227,277,257,85,287,180,,,,,,,
18,55,48,22,78,606,108,70,138,72,168,326,198,170,228,69,258,332,288,85,,,,,,,
19,145,49,114,79,82,109,168,139,88,169,138,199,55,229,408,259,154,289,278,,,,,,,
20,57,50,55,80,88,110,3,140,184,170,282,200,44,230,133,260,164,290,231,,,,,,,
21,35,51,56,81,85,111,105,141,308,171,77,201,183,231,62,261,99,291,145,,,,,,,
22,482,52,437,82,590,112,75,142,243,172,102,202,42,232,213,262,95,292,506,,,,,,,
23,229,53,373,83,195,113,260,143,257,173,112,203,531,233,64,263,109,293,115,,,,,,,
24,83,54,0,84,93,114,39,144,220,174,55,204,92,234,204,264,486,294,87,,,,,,,
25,83,55,102,85,80,115,74,145,154,175,665,205,41,235,55,265,135,295,50,,,,,,,
26,65,56,176,86,231,116,97,146,432,176,99,206,574,236,115,266,28,296,190,,,,,,,
27,61,57,142,87,160,117,173,147,545,177,127,207,396,237,128,267,140,297,84,,,,,,,
28,109,58,189,88,242,118,316,148,171,178,163,208,70,238,174,268,203,298,194,,,,,,,
29,195,59,142,89,223,119,639,149,335,179,55,209,607,239,374,269,110,299,211,,,,,,,
30,85,60,220,90,241,120,45,150,80,180,103,210,91,240,100,270,164,300,191,,,,,,,
Centre:,391105,SANGAM,SCHOOL,OF,"EXCELLENCE,",N.,H.,79,CHITTOR,BY-PASS,ATUN,BHILWARA,NH,79,CHITTOR,ROAD,BHILWARA,"RAJASTHAN,","BHILWARA,",RAJASTHAN,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,
301,383,331,510,361,354,391,124,421,112,451,558,481,283,511,144,541,214,571,163,,,,,,,
302,84,332,169,362,180,392,564,422,142,452,596,482,70,512,37,542,198,572,522,,,,,,,
303,596,333,114,363,202,393,210,423,78,453,319,483,125,513,154,543,-14,573,299,,,,,,,
304,125,334,75,364,117,394,597,424,324,454,52,484,336,514,77,544,229,574,65,,,,,,,
305,160,335,647,365,414,395,40,425,590,455,58,485,506,515,99,545,153,575,216,,,,,,,
306,207,336,52,366,454,396,104,426,31,456,66,486,193,516,93,546,159,576,85,,,,,,,
307,258,337,325,367,342,397,40,427,105,457,164,487,277,517,104,547,352,577,81,,,,,,,
308,143,338,346,368,130,398,540,428,28,458,74,488,222,518,55,548,55,578,78,,,,,,,
309,597,339,249,369,35,399,68,429,165,459,426,489,83,519,336,549,271,579,212,,,,,,,
310,237,340,680,370,84,400,200,430,160,460,666,490,97,520,244,550,183,580,109,,,,,,,
311,124,341,78,371,11,401,558,431,138,461,710,491,19,521,95,551,184,581,131,,,,,,,
312,359,342,114,372,35,402,105,432,130,462,100,492,98,522,102,552,74,582,127,,,,,,,
313,653,343,106,373,248,403,370,433,110,463,292,493,173,523,547,553,218,583,509,,,,,,,
314,155,344,109,374,631,404,293,434,145,464,561,494,568,524,54,554,157,584,166,,,,,,,
315,473,345,228,375,494,405,148,435,149,465,58,495,246,525,125,555,135,585,108,,,,,,,
316,486,346,151,376,144,406,105,436,72,466,114,496,175,526,205,556,252,586,228,,,,,,,
317,25,347,386,377,273,407,41,437,234,467,271,497,158,527,169,557,46,587,79,,,,,,,
318,447,348,399,378,70,408,646,438,91,468,632,498,175,528,143,558,207,588,54,,,,,,,
319,528,349,110,379,214,409,202,439,173,469,109,499,151,529,243,559,197,589,94,,,,,,,
320,78,350,427,380,72,410,113,440,427,470,80,500,109,530,105,560,113,590,140,,,,,,,
321,623,351,310,381,665,411,129,441,82,471,180,501,160,531,580,561,235,591,204,,,,,,,
322,284,352,220,382,50,412,139,442,127,472,71,502,655,532,219,562,38,592,528,,,,,,,
323,217,353,628,383,109,413,62,443,613,473,154,503,194,533,177,563,128,593,210,,,,,,,
324,53,354,98,384,221,414,198,444,227,474,120,504,87,534,45,564,81,594,91,,,,,,,
325,91,355,114,385,89,415,27,445,125,475,77,505,267,535,351,565,133,595,95,,,,,,,
326,82,356,368,386,187,416,166,446,129,476,112,506,77,536,79,566,558,596,151,,,,,,,
327,94,357,40,387,95,417,80,447,180,477,227,507,309,537,370,567,65,597,162,,,,,,,
328,179,358,133,388,57,418,75,448,104,478,288,508,678,538,626,568,241,598,162,,,,,,,
329,498,359,529,389,70,419,49,449,172,479,232,509,66,539,236,569,104,599,660,,,,,,,
330,219,360,628,390,54,420,130,450,204,480,116,510,247,540,166,570,189,600,160,,,,,,,
