0,1,2,3,4,5,6,7,8,9
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,61,31,70,61,203,91,62,121,258
2,129,32,47,62,80,92,62,122,165
3,72,33,185,63,140,93,177,123,142
4,109,34,323,64,82,94,215,124,63
5,41,35,45,65,301,95,0,125,92
6,552,36,256,66,32,96,118,126,150
7,88,37,33,67,196,97,328,127,77
8,152,38,290,68,95,98,188,128,69
9,58,39,105,69,198,99,1,129,76
10,91,40,106,70,324,100,31,130,259
11,62,41,45,71,31,101,73,131,89
12,193,42,143,72,101,102,70,132,35
13,100,43,77,73,123,103,104,133,78
14,47,44,182,74,107,104,79,,
15,301,45,133,75,175,105,160,,
16,80,46,155,76,46,106,205,,
17,75,47,213,77,208,107,131,,
18,35,48,220,78,49,108,21,,
19,83,49,70,79,103,109,68,,
20,45,50,75,80,52,110,85,,
21,96,51,95,81,210,111,61,,
22,88,52,194,82,127,112,88,,
23,147,53,62,83,49,113,115,,
24,101,54,300,84,59,114,29,,
25,58,55,202,85,118,115,132,,
26,40,56,220,86,145,116,78,,
27,202,57,37,87,86,117,60,,
28,97,58,110,88,124,118,94,,
29,51,59,180,89,55,119,157,,
30,99,60,214,90,153,120,138,,
