0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,82,31,134,61,579,91,300,121,412,151,328,181,470,211,396,241,160
2,40,32,486,62,157,92,136,122,412,152,82,182,321,212,432,242,91
3,520,33,134,63,571,93,470,123,415,153,411,183,476,213,425,243,469
4,434,34,188,64,511,94,181,124,445,154,90,184,485,214,336,244,445
5,201,35,100,65,220,95,90,125,121,155,80,185,600,215,114,245,537
6,250,36,131,66,358,96,531,126,525,156,592,186,259,216,304,246,599
7,582,37,475,67,83,97,259,127,261,157,16,187,311,217,502,247,381
8,177,38,423,68,42,98,244,128,301,158,184,188,74,218,582,248,559
9,376,39,209,69,331,99,528,129,409,159,53,189,241,219,550,249,132
10,645,40,239,70,230,100,220,130,272,160,511,190,160,220,46,250,60
11,308,41,594,71,201,101,290,131,254,161,558,191,195,221,550,251,95
12,457,42,300,72,436,102,623,132,295,162,499,192,599,222,104,252,216
13,155,43,605,73,557,103,438,133,125,163,516,193,130,223,56,253,565
14,452,44,52,74,337,104,615,134,589,164,220,194,263,224,215,254,509
15,635,45,371,75,140,105,602,135,359,165,629,195,241,225,255,255,126
16,98,46,506,76,550,106,534,136,386,166,124,196,137,226,510,256,336
17,164,47,484,77,271,107,657,137,464,167,559,197,131,227,347,257,222
18,130,48,608,78,691,108,463,138,237,168,473,198,525,228,486,258,303
19,559,49,150,79,229,109,284,139,598,169,565,199,436,229,543,259,236
20,346,50,128,80,106,110,435,140,684,170,426,200,546,230,450,260,362
21,633,51,399,81,218,111,400,141,442,171,292,201,230,231,207,261,440
22,177,52,98,82,273,112,76,142,54,172,239,202,244,232,415,262,586
23,370,53,641,83,89,113,228,143,419,173,437,203,130,233,117,263,467
24,473,54,681,84,465,114,620,144,422,174,244,204,508,234,540,264,670
25,112,55,134,85,373,115,101,145,83,175,340,205,644,235,450,,
26,329,56,660,86,217,116,244,146,27,176,85,206,388,236,192,,
27,620,57,482,87,437,117,145,147,298,177,178,207,599,237,369,,
28,472,58,160,88,620,118,248,148,607,178,317,208,451,238,249,,
29,494,59,389,89,90,119,184,149,177,179,156,209,397,239,596,,
30,73,60,304,90,157,120,94,150,617,180,178,210,332,240,85,,
