0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,
1,57,31,115,61,636,91,265,121,55,151,338,181,187,211,347,241,58,271,159,
2,275,32,100,62,61,92,113,122,210,152,64,182,637,212,558,242,299,272,86,
3,24,33,566,63,302,93,184,123,112,153,147,183,307,213,127,243,338,273,59,
4,120,34,17,64,97,94,19,124,171,154,504,184,540,214,151,244,83,274,146,
5,110,35,41,65,84,95,63,125,333,155,154,185,74,215,348,245,132,275,434,
6,124,36,109,66,64,96,465,126,529,156,131,186,16,216,127,246,250,276,92,
7,430,37,482,67,145,97,149,127,43,157,502,187,98,217,192,247,280,277,25,
8,46,38,241,68,303,98,223,128,605,158,91,188,65,218,246,248,525,278,128,
9,174,39,195,69,101,99,30,129,149,159,359,189,139,219,39,249,37,279,153,
10,573,40,166,70,20,100,212,130,54,160,124,190,314,220,65,250,44,280,107,
11,580,41,281,71,152,101,28,131,161,161,408,191,107,221,245,251,229,281,148,
12,430,42,17,72,-2,102,136,132,72,162,75,192,85,222,273,252,103,282,544,
13,195,43,43,73,189,103,167,133,55,163,22,193,112,223,57,253,541,283,223,
14,623,44,70,74,84,104,232,134,235,164,20,194,111,224,81,254,301,284,166,
15,460,45,50,75,100,105,86,135,110,165,326,195,510,225,134,255,102,285,251,
16,535,46,308,76,592,106,46,136,318,166,71,196,70,226,127,256,325,286,410,
17,40,47,367,77,206,107,114,137,207,167,41,197,285,227,148,257,35,287,206,
18,390,48,89,78,108,108,27,138,177,168,144,198,463,228,255,258,28,288,531,
19,48,49,156,79,144,109,61,139,203,169,240,199,116,229,151,259,50,289,155,
20,64,50,156,80,77,110,89,140,190,170,37,200,550,230,456,260,51,290,125,
21,140,51,242,81,42,111,298,141,154,171,174,201,86,231,60,261,42,291,242,
22,36,52,109,82,54,112,252,142,217,172,2,202,40,232,47,262,307,292,280,
23,330,53,59,83,55,113,56,143,36,173,7,203,145,233,373,263,160,293,44,
24,36,54,626,84,119,114,135,144,137,174,64,204,27,234,186,264,398,294,97,
