0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
604,206,634,105,664,306,694,369,724,84,754,264,,,,,,,,,,
605,67,635,167,665,23,695,101,725,150,755,113,,,,,,,,,,
606,177,636,110,666,117,696,431,726,74,756,91,,,,,,,,,,
607,109,637,61,667,65,697,132,727,255,757,140,,,,,,,,,,
608,239,638,650,668,448,698,75,728,131,758,224,,,,,,,,,,
609,65,639,158,669,145,699,271,729,30,759,108,,,,,,,,,,
610,511,640,140,670,168,700,71,730,112,760,520,,,,,,,,,,
611,232,641,2,671,173,701,90,731,95,761,166,,,,,,,,,,
612,174,642,125,672,270,702,84,732,204,762,75,,,,,,,,,,
613,389,643,618,673,29,703,222,733,292,763,98,,,,,,,,,,
614,254,644,437,674,202,704,60,734,217,764,118,,,,,,,,,,
615,113,645,89,675,40,705,581,735,302,765,45,,,,,,,,,,
616,468,646,186,676,273,706,180,736,112,766,157,,,,,,,,,,
617,167,647,75,677,506,707,404,737,123,767,59,,,,,,,,,,
618,55,648,613,678,95,708,63,738,182,768,60,,,,,,,,,,
619,90,649,354,679,102,709,572,739,34,769,61,,,,,,,,,,
620,38,650,368,680,92,710,281,740,317,770,7,,,,,,,,,,
621,369,651,55,681,140,711,51,741,300,771,45,,,,,,,,,,
622,259,652,135,682,79,712,286,742,81,772,52,,,,,,,,,,
623,232,653,173,683,16,713,394,743,119,773,57,,,,,,,,,,
624,231,654,286,684,243,714,1,744,336,774,220,,,,,,,,,,
625,73,655,502,685,235,715,44,745,147,775,15,,,,,,,,,,
626,311,656,237,686,141,716,221,746,304,776,111,,,,,,,,,,
627,292,657,141,687,72,717,233,747,235,777,55,,,,,,,,,,
628,43,658,122,688,238,718,114,748,130,778,195,,,,,,,,,,
629,65,659,265,689,95,719,77,749,116,779,64,,,,,,,,,,
630,44,660,359,690,86,720,106,750,416,780,128,,,,,,,,,,
