0,1,2,3,4,5,6,7,8,9
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,188,31,232,61,96,91,3,121,98
2,266,32,315,62,37,92,101,,
3,79,33,201,63,392,93,160,,
4,122,34,241,64,57,94,261,,
5,100,35,75,65,425,95,147,,
6,131,36,248,66,30,96,133,,
7,164,37,138,67,192,97,79,,
8,224,38,204,68,114,98,444,,
9,97,39,178,69,105,99,12,,
10,239,40,257,70,104,100,292,,
11,240,41,126,71,27,101,112,,
12,39,42,47,72,51,102,133,,
13,112,43,191,73,392,103,101,,
14,150,44,78,74,284,104,149,,
15,71,45,224,75,476,105,181,,
16,182,46,100,76,319,106,384,,
17,264,47,309,77,168,107,65,,
18,67,48,280,78,264,108,143,,
19,75,49,76,79,100,109,18,,
20,144,50,109,80,154,110,197,,
21,94,51,31,81,25,111,407,,
22,170,52,95,82,145,112,224,,
23,223,53,117,83,7,113,75,,
24,55,54,236,84,141,114,141,,
25,141,55,127,85,49,115,368,,
26,77,56,85,86,192,116,337,,
27,83,57,56,87,321,117,506,,
28,147,58,142,88,74,118,548,,
29,482,59,66,89,289,119,83,,
30,110,60,116,90,153,120,69,,
