0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,191,31,71,61,71,91,385,121,81,151,405,181,-10,211,652,241,105,271,392
2,130,32,149,62,341,92,68,122,298,152,59,182,206,212,587,242,267,272,70
3,233,33,128,63,76,93,143,123,247,153,295,183,279,213,298,243,177,273,343
4,671,34,562,64,72,94,68,124,26,154,87,184,238,214,151,244,199,274,195
5,127,35,117,65,557,95,255,125,493,155,245,185,446,215,183,245,423,275,256
6,405,36,26,66,461,96,35,126,80,156,53,186,599,216,31,246,83,276,560
7,76,37,412,67,7,97,135,127,355,157,307,187,639,217,63,247,219,277,177
8,21,38,279,68,504,98,29,128,376,158,290,188,365,218,54,248,119,,
9,172,39,112,69,615,99,372,129,86,159,188,189,172,219,505,249,145,,
10,144,40,70,70,55,100,44,130,50,160,442,190,182,220,173,250,307,,
11,115,41,238,71,140,101,170,131,305,161,17,191,45,221,397,251,46,,
12,86,42,145,72,58,102,129,132,332,162,212,192,36,222,127,252,88,,
13,122,43,38,73,200,103,167,133,123,163,123,193,86,223,60,253,90,,
14,195,44,30,74,608,104,69,134,81,164,77,194,191,224,495,254,95,,
15,69,45,592,75,279,105,88,135,81,165,70,195,102,225,62,255,16,,
16,512,46,35,76,197,106,233,136,527,166,296,196,108,226,330,256,10,,
17,164,47,266,77,74,107,69,137,260,167,150,197,99,227,163,257,181,,
18,102,48,337,78,270,108,104,138,133,168,119,198,475,228,40,258,437,,
19,64,49,590,79,120,109,206,139,254,169,514,199,324,229,252,259,312,,
20,141,50,446,80,401,110,53,140,205,170,101,200,142,230,527,260,139,,
21,158,51,113,81,114,111,130,141,50,171,23,201,65,231,359,261,159,,
22,65,52,229,82,572,112,83,142,562,172,74,202,145,232,45,262,38,,
23,309,53,318,83,217,113,196,143,213,173,210,203,306,233,350,263,210,,
24,505,54,382,84,286,114,319,144,100,174,73,204,56,234,143,264,86,,
25,114,55,72,85,111,115,281,145,108,175,136,205,128,235,395,265,251,,
26,127,56,183,86,131,116,218,146,56,176,675,206,257,236,164,266,86,,
27,127,57,65,87,457,117,178,147,73,177,129,207,147,237,108,267,172,,
28,83,58,320,88,112,118,-15,148,132,178,124,208,475,238,324,268,63,,
29,626,59,461,89,251,119,28,149,85,179,116,209,483,239,250,269,130,,
30,70,60,234,90,97,120,396,150,149,180,157,210,331,240,39,270,293,,
