0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,210,31,63,61,130,91,42,121,176,151,354,181,63,211,367,241,100,271,125
2,371,32,223,62,156,92,73,122,179,152,212,182,585,212,38,242,148,272,84
3,392,33,384,63,195,93,209,123,219,153,214,183,222,213,130,243,420,273,181
4,97,34,120,64,84,94,232,124,476,154,223,184,320,214,246,244,81,274,45
5,629,35,-7,65,100,95,292,125,68,155,28,185,411,215,329,245,133,275,15
6,665,36,45,66,77,96,199,126,95,156,180,186,467,216,176,246,100,276,176
7,64,37,37,67,97,97,164,127,144,157,27,187,155,217,114,247,641,277,63
8,332,38,101,68,451,98,100,128,193,158,638,188,142,218,120,248,35,278,260
9,42,39,140,69,130,99,140,129,101,159,86,189,151,219,39,249,372,279,137
10,339,40,50,70,74,100,549,130,111,160,101,190,52,220,40,250,155,280,210
11,165,41,219,71,177,101,532,131,431,161,328,191,336,221,123,251,230,281,485
12,98,42,249,72,549,102,112,132,198,162,281,192,75,222,147,252,197,282,659
13,113,43,101,73,15,103,83,133,447,163,121,193,125,223,248,253,78,283,81
14,226,44,240,74,72,104,4,134,46,164,170,194,158,224,193,254,116,284,244
15,405,45,33,75,69,105,292,135,523,165,95,195,375,225,166,255,119,285,222
16,108,46,59,76,193,106,483,136,42,166,88,196,388,226,513,256,214,286,94
17,152,47,122,77,25,107,256,137,65,167,478,197,89,227,163,257,227,287,640
18,81,48,45,78,157,108,151,138,144,168,247,198,633,228,235,258,384,288,349
19,481,49,523,79,56,109,140,139,36,169,22,199,61,229,480,259,144,289,137
20,317,50,59,80,98,110,90,140,107,170,205,200,122,230,125,260,213,290,293
21,206,51,191,81,70,111,443,141,223,171,447,201,666,231,192,261,544,291,167
22,26,52,118,82,393,112,223,142,124,172,293,202,26,232,45,262,499,292,65
23,38,53,143,83,174,113,63,143,74,173,34,203,89,233,123,263,59,293,462
24,110,54,44,84,223,114,115,144,57,174,65,204,117,234,23,264,77,294,50
25,71,55,129,85,203,115,267,145,457,175,363,205,105,235,317,265,44,295,96
26,7,56,87,86,125,116,373,146,45,176,33,206,83,236,105,266,225,296,220
27,257,57,319,87,147,117,281,147,179,177,81,207,60,237,49,267,334,297,183
28,110,58,137,88,110,118,-2,148,110,178,164,208,47,238,410,268,211,298,242
29,30,59,55,89,235,119,254,149,344,179,550,209,40,239,31,269,48,299,643
30,79,60,23,90,60,120,40,150,164,180,634,210,619,240,80,270,617,300,458
Centre:,150231,MOUNT,LITRA,ZEE,SCHOOL,"SAGUNA,","SAGUNA,",KHAGAUL,"ROAD,","DANAPUR,","PATNA-801503,","PATNA,",BIHAR,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
301,551,331,645,361,107,391,76,421,62,451,165,481,338,511,198,541,218,571,85
302,44,332,280,362,503,392,119,422,85,452,131,482,53,512,61,542,183,572,186
303,209,333,39,363,39,393,170,423,331,453,110,483,149,513,114,543,542,573,89
304,385,334,82,364,623,394,75,424,39,454,586,484,141,514,339,544,356,574,211
305,155,335,13,365,169,395,94,425,289,455,139,485,20,515,54,545,438,575,406
306,562,336,350,366,216,396,111,426,191,456,19,486,456,516,135,546,276,576,252
307,141,337,129,367,36,397,152,427,135,457,380,487,94,517,526,547,61,577,34
308,60,338,550,368,683,398,358,428,245,458,110,488,142,518,152,548,123,578,193
309,192,339,242,369,103,399,339,429,230,459,213,489,470,519,655,549,65,579,65
310,433,340,69,370,107,400,192,430,183,460,101,490,578,520,219,550,339,580,116
311,167,341,67,371,76,401,106,431,111,461,69,491,453,521,124,551,249,581,49
312,83,342,175,372,45,402,122,432,293,462,176,492,75,522,17,552,147,582,535
313,366,343,202,373,71,403,533,433,174,463,221,493,84,523,345,553,44,583,239
314,569,344,173,374,70,404,199,434,421,464,422,494,508,524,34,554,75,584,326
315,143,345,549,375,136,405,100,435,169,465,182,495,20,525,104,555,35,585,28
316,83,346,391,376,209,406,41,436,450,466,244,496,634,526,581,556,108,586,240
317,585,347,660,377,276,407,465,437,30,467,577,497,530,527,105,557,592,587,579
318,318,348,108,378,235,408,107,438,105,468,66,498,100,528,333,558,160,588,439
319,435,349,39,379,383,409,88,439,94,469,230,499,78,529,198,559,503,589,-1
320,426,350,50,380,319,410,135,440,155,470,295,500,343,530,422,560,317,590,511
321,192,351,89,381,68,411,211,441,57,471,134,501,404,531,312,561,35,591,119
322,392,352,303,382,410,412,-12,442,66,472,78,502,35,532,90,562,58,592,126
323,6,353,139,383,299,413,179,443,86,473,297,503,208,533,340,563,90,593,284
324,472,354,141,384,615,414,514,444,143,474,62,504,408,534,100,564,52,594,448
325,210,355,322,385,217,415,105,445,376,475,154,505,259,535,135,565,442,595,77
326,275,356,46,386,123,416,483,446,-8,476,83,506,81,536,596,566,498,596,214
327,160,357,65,387,18,417,49,447,300,477,305,507,396,537,263,567,32,597,29
328,345,358,125,388,69,418,-15,448,164,478,61,508,105,538,666,568,125,598,540
329,453,359,78,389,406,419,367,449,94,479,232,509,134,539,296,569,124,599,511
330,220,360,125,390,191,420,100,450,213,480,71,510,456,540,656,570,12,600,612
Centre:,150231,MOUNT,LITRA,ZEE,SCHOOL,"SAGUNA,","SAGUNA,",KHAGAUL,"ROAD,","DANAPUR,","PATNA-801503,","PATNA,",BIHAR,NEET,(UG),2024,Page,No.,3
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,
601,356,631,560,661,90,691,31,,,,,,,,,,,,
602,101,632,162,662,554,692,234,,,,,,,,,,,,
603,29,633,165,663,598,693,199,,,,,,,,,,,,
604,237,634,142,664,74,,,,,,,,,,,,,,
605,507,635,32,665,235,,,,,,,,,,,,,,
606,509,636,438,666,60,,,,,,,,,,,,,,
607,244,637,155,667,284,,,,,,,,,,,,,,
608,120,638,48,668,362,,,,,,,,,,,,,,
609,335,639,57,669,251,,,,,,,,,,,,,,
610,236,640,154,670,255,,,,,,,,,,,,,,
611,348,641,39,671,230,,,,,,,,,,,,,,
612,351,642,85,672,80,,,,,,,,,,,,,,
613,29,643,60,673,22,,,,,,,,,,,,,,
614,83,644,187,674,201,,,,,,,,,,,,,,
615,92,645,117,675,93,,,,,,,,,,,,,,
616,224,646,522,676,135,,,,,,,,,,,,,,
617,26,647,219,677,-13,,,,,,,,,,,,,,
618,512,648,339,678,679,,,,,,,,,,,,,,
619,39,649,98,679,476,,,,,,,,,,,,,,
620,67,650,165,680,71,,,,,,,,,,,,,,
621,75,651,421,681,420,,,,,,,,,,,,,,
622,325,652,132,682,539,,,,,,,,,,,,,,
623,182,653,579,683,61,,,,,,,,,,,,,,
624,21,654,532,684,88,,,,,,,,,,,,,,
625,59,655,56,685,121,,,,,,,,,,,,,,
626,182,656,234,686,49,,,,,,,,,,,,,,
627,105,657,339,687,317,,,,,,,,,,,,,,
628,375,658,194,688,142,,,,,,,,,,,,,,
629,152,659,133,689,71,,,,,,,,,,,,,,
630,156,660,256,690,205,,,,,,,,,,,,,,
