0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,135,31,12,61,50,91,79
2,117,32,51,62,31,92,124
3,23,33,116,63,67,93,107
4,314,34,74,64,124,94,46
5,200,35,255,65,134,95,119
6,184,36,498,66,21,96,44
7,135,37,85,67,75,97,-7
8,30,38,10,68,94,98,237
9,339,39,111,69,7,99,52
10,280,40,155,70,73,100,44
11,44,41,194,71,206,101,112
12,86,42,381,72,96,102,120
13,54,43,79,73,56,103,278
14,133,44,52,74,32,104,25
15,25,45,93,75,559,105,304
16,189,46,245,76,317,106,55
17,335,47,61,77,62,107,344
18,98,48,583,78,73,108,43
19,128,49,88,79,166,109,16
20,83,50,90,80,64,110,64
21,64,51,2,81,208,111,84
22,100,52,98,82,187,112,86
23,129,53,107,83,422,113,539
24,5,54,48,84,37,114,53
25,511,55,366,85,59,115,116
26,17,56,114,86,38,116,38
27,33,57,35,87,320,117,96
28,5,58,55,88,147,,
29,449,59,193,89,259,,
30,86,60,67,90,65,,
