0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,58,31,510,61,130,91,119,121,254,151,340,181,162,211,104
2,81,32,297,62,211,92,100,122,24,152,55,182,224,212,30
3,132,33,35,63,533,93,178,123,401,153,325,183,45,213,40
4,357,34,155,64,30,94,366,124,94,154,356,184,121,,
5,416,35,69,65,96,95,62,125,313,155,82,185,86,,
6,248,36,268,66,160,96,124,126,255,156,59,186,184,,
7,306,37,38,67,381,97,234,127,94,157,181,187,73,,
8,273,38,68,68,92,98,176,128,349,158,158,188,665,,
9,86,39,20,69,52,99,197,129,23,159,99,189,58,,
10,270,40,80,70,-8,100,111,130,132,160,179,190,191,,
11,45,41,100,71,325,101,86,131,284,161,-11,191,164,,
12,70,42,186,72,15,102,189,132,171,162,71,192,246,,
13,61,43,65,73,107,103,50,133,89,163,92,193,273,,
14,245,44,41,74,66,104,182,134,182,164,112,194,64,,
15,124,45,37,75,79,105,53,135,546,165,-25,195,363,,
16,45,46,14,76,150,106,432,136,61,166,70,196,98,,
17,145,47,84,77,6,107,70,137,600,167,76,197,28,,
18,18,48,69,78,324,108,595,138,109,168,141,198,675,,
19,121,49,44,79,40,109,21,139,193,169,109,199,206,,
20,310,50,173,80,64,110,411,140,162,170,161,200,455,,
21,75,51,78,81,43,111,67,141,125,171,427,201,39,,
22,112,52,13,82,82,112,75,142,212,172,396,202,15,,
23,134,53,18,83,652,113,106,143,218,173,131,203,59,,
24,14,54,73,84,121,114,176,144,319,174,75,204,551,,
25,438,55,467,85,305,115,402,145,141,175,87,205,290,,
26,21,56,333,86,76,116,338,146,415,176,266,206,35,,
27,62,57,247,87,148,117,101,147,130,177,27,207,175,,
28,178,58,137,88,56,118,369,148,91,178,125,208,40,,
29,81,59,361,89,317,119,67,149,61,179,140,209,34,,
30,285,60,81,90,47,120,209,150,10,180,78,210,216,,
