0,1,2,3,4,5,6,7,8,9,10,11
:NUAPADA,STATE,:,"ODISHA,","NUAPADA,",ODISHA,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,30,31,28,61,205,91,135,121,275,151,235
2,131,32,65,62,81,92,31,122,98,152,66
3,-1,33,160,63,119,93,151,123,183,153,19
4,-10,34,60,64,314,94,145,124,95,154,472
5,146,35,133,65,196,95,193,125,315,155,223
6,342,36,145,66,135,96,175,126,33,156,90
7,158,37,85,67,99,97,26,127,305,157,111
8,508,38,71,68,260,98,164,128,290,158,258
9,287,39,60,69,88,99,92,129,152,159,440
10,24,40,175,70,-15,100,50,130,179,160,463
11,144,41,148,71,61,101,236,131,30,161,163
12,99,42,54,72,82,102,-15,132,68,162,44
13,125,43,38,73,162,103,501,133,60,163,342
14,115,44,79,74,135,104,5,134,39,164,193
15,94,45,30,75,135,105,303,135,19,165,30
16,9,46,288,76,222,106,30,136,283,166,50
17,-12,47,34,77,64,107,317,137,312,167,59
18,118,48,166,78,192,108,247,138,15,,
19,47,49,101,79,40,109,611,139,75,,
20,34,50,46,80,111,110,398,140,68,,
21,129,51,105,81,34,111,76,141,61,,
22,70,52,67,82,161,112,70,142,267,,
23,384,53,229,83,107,113,81,143,82,,
24,37,54,106,84,65,114,356,144,235,,
25,55,55,251,85,46,115,99,145,28,,
26,16,56,413,86,36,116,236,146,35,,
27,61,57,30,87,20,117,0,147,40,,
28,133,58,53,88,221,118,93,148,153,,
29,64,59,114,89,50,119,191,149,53,,
30,40,60,133,90,298,120,53,150,71,,
