0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"VARANASI,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,
1,88,31,557,61,431,91,278,121,464,151,135,181,289,211,225,241,109,271,505,,,,,
2,29,32,73,62,29,92,163,122,206,152,397,182,11,212,455,242,111,272,76,,,,,
3,58,33,157,63,41,93,199,123,81,153,76,183,352,213,545,243,176,273,84,,,,,
4,276,34,332,64,182,94,558,124,74,154,94,184,129,214,181,244,140,274,56,,,,,
5,81,35,141,65,251,95,470,125,79,155,218,185,207,215,224,245,317,275,40,,,,,
6,163,36,88,66,166,96,278,126,160,156,385,186,147,216,294,246,118,276,317,,,,,
7,116,37,372,67,72,97,405,127,211,157,354,187,80,217,491,247,323,277,365,,,,,
8,70,38,114,68,33,98,81,128,133,158,98,188,367,218,374,248,94,278,288,,,,,
9,173,39,317,69,39,99,65,129,367,159,40,189,135,219,146,249,401,279,50,,,,,
10,152,40,655,70,360,100,110,130,71,160,294,190,203,220,71,250,200,280,123,,,,,
11,27,41,542,71,501,101,250,131,215,161,432,191,208,221,74,251,119,281,214,,,,,
12,549,42,132,72,137,102,56,132,524,162,128,192,62,222,334,252,595,282,362,,,,,
13,508,43,486,73,205,103,46,133,89,163,52,193,65,223,489,253,101,283,92,,,,,
14,15,44,242,74,252,104,291,134,253,164,105,194,175,224,195,254,436,284,614,,,,,
15,80,45,158,75,91,105,309,135,406,165,169,195,205,225,284,255,134,285,112,,,,,
16,17,46,420,76,195,106,396,136,453,166,336,196,176,226,566,256,88,286,363,,,,,
17,63,47,632,77,412,107,90,137,404,167,169,197,153,227,206,257,34,287,194,,,,,
18,84,48,183,78,413,108,21,138,654,168,103,198,235,228,179,258,92,288,47,,,,,
19,85,49,112,79,351,109,685,139,477,169,105,199,218,229,283,259,418,289,417,,,,,
20,400,50,155,80,296,110,5,140,42,170,107,200,49,230,190,260,87,290,679,,,,,
21,632,51,69,81,153,111,20,141,197,171,302,201,96,231,243,261,41,291,48,,,,,
22,72,52,202,82,319,112,41,142,442,172,84,202,113,232,90,262,184,292,47,,,,,
23,360,53,611,83,215,113,198,143,294,173,495,203,250,233,304,263,92,293,12,,,,,
24,72,54,48,84,49,114,39,144,48,174,381,204,631,234,155,264,124,294,245,,,,,
25,111,55,490,85,155,115,110,145,104,175,116,205,364,235,667,265,553,295,159,,,,,
26,98,56,257,86,55,116,657,146,461,176,222,206,351,236,205,266,102,296,75,,,,,
27,262,57,171,87,671,117,185,147,343,177,98,207,184,237,453,267,96,297,164,,,,,
28,547,58,145,88,56,118,125,148,147,178,144,208,168,238,315,268,62,298,235,,,,,
29,55,59,355,89,123,119,249,149,78,179,590,209,242,239,174,269,133,299,63,,,,,
30,81,60,157,90,52,120,321,150,19,180,135,210,430,240,40,270,49,300,523,,,,,
Centre:,441109,GYAN,DEEP,ACADEMY,KANDWA,CHITAIPUR,VARANASI,"UP,",GYAN,DEEP,ACADEMY,KANDWA,CHITAIPUR,CHUNAR,ROAD,VARANASI,UTTAR,"PRADESH,",NEET,(UG),2024,Page,No.,2
"VARANASI,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,
301,426,331,89,361,114,391,604,421,169,451,345,481,74,511,110,541,185,571,413,,,,,
302,580,332,157,362,46,392,323,422,122,452,293,482,121,512,110,542,430,572,231,,,,,
303,153,333,39,363,383,393,78,423,432,453,70,483,120,513,24,543,84,573,46,,,,,
304,77,334,143,364,55,394,100,424,245,454,129,484,415,514,67,544,626,574,235,,,,,
305,385,335,100,365,143,395,155,425,549,455,353,485,244,515,62,545,534,575,304,,,,,
306,20,336,172,366,131,396,329,426,158,456,243,486,131,516,234,546,242,576,106,,,,,
307,86,337,240,367,563,397,448,427,94,457,173,487,315,517,37,547,176,577,62,,,,,
308,531,338,155,368,628,398,457,428,184,458,26,488,144,518,36,548,351,578,206,,,,,
309,350,339,311,369,256,399,119,429,496,459,79,489,640,519,491,549,409,579,598,,,,,
310,89,340,414,370,169,400,380,430,307,460,100,490,659,520,93,550,408,580,42,,,,,
311,221,341,134,371,199,401,340,431,65,461,76,491,187,521,206,551,77,581,162,,,,,
312,83,342,206,372,104,402,219,432,482,462,267,492,262,522,104,552,159,582,406,,,,,
313,158,343,67,373,98,403,99,433,200,463,608,493,448,523,283,553,115,583,251,,,,,
314,123,344,50,374,172,404,104,434,308,464,144,494,337,524,340,554,312,584,653,,,,,
