0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,
1,86,31,50,61,116,91,130,121,84,151,327,181,220,211,260,241,293,271,425,,
2,238,32,467,62,143,92,98,122,182,152,253,182,107,212,18,242,353,272,236,,
3,94,33,83,63,236,93,119,123,228,153,156,183,130,213,170,243,81,273,80,,
4,304,34,94,64,165,94,652,124,61,154,233,184,156,214,14,244,161,274,195,,
5,-7,35,125,65,361,95,180,125,95,155,257,185,191,215,259,245,57,275,95,,
6,32,36,90,66,60,96,151,126,90,156,189,186,502,216,237,246,181,276,106,,
7,150,37,187,67,161,97,60,127,40,157,109,187,201,217,349,247,422,277,58,,
8,354,38,164,68,95,98,98,128,179,158,86,188,137,218,208,248,66,278,84,,
9,57,39,189,69,54,99,50,129,110,159,167,189,114,219,120,249,315,279,127,,
10,290,40,109,70,56,100,142,130,75,160,135,190,214,220,6,250,266,280,307,,
11,87,41,94,71,195,101,216,131,232,161,132,191,173,221,139,251,62,281,85,,
12,281,42,30,72,579,102,374,132,105,162,63,192,157,222,20,252,82,282,96,,
13,75,43,65,73,218,103,318,133,59,163,126,193,295,223,224,253,173,283,277,,
14,117,44,75,74,397,104,255,134,179,164,66,194,100,224,170,254,570,284,51,,
15,86,45,129,75,579,105,211,135,193,165,558,195,135,225,99,255,519,285,40,,
16,211,46,448,76,144,106,36,136,73,166,48,196,81,226,104,256,178,286,152,,
17,162,47,120,77,105,107,150,137,50,167,79,197,132,227,55,257,181,287,75,,
18,203,48,227,78,101,108,161,138,85,168,29,198,184,228,70,258,299,288,15,,
19,129,49,104,79,231,109,327,139,118,169,350,199,207,229,35,259,321,289,85,,
20,405,50,85,80,45,110,227,140,76,170,125,200,-7,230,41,260,88,290,406,,
21,27,51,520,81,204,111,87,141,640,171,188,201,660,231,61,261,350,291,25,,
22,513,52,60,82,71,112,174,142,216,172,174,202,73,232,118,262,44,292,30,,
23,93,53,60,83,158,113,92,143,175,173,215,203,75,233,50,263,5,293,30,,
24,323,54,80,84,233,114,5,144,180,174,55,204,28,234,355,264,66,294,145,,
25,115,55,194,85,54,115,63,145,74,175,177,205,63,235,539,265,130,295,464,,
26,80,56,37,86,327,116,137,146,36,176,38,206,65,236,139,266,172,296,219,,
27,75,57,126,87,112,117,90,147,125,177,54,207,193,237,236,267,131,297,136,,
28,158,58,341,88,147,118,392,148,85,178,358,208,213,238,213,268,98,298,116,,
29,65,59,55,89,150,119,242,149,493,179,320,209,318,239,209,269,110,299,50,,
30,85,60,103,90,179,120,87,150,105,180,87,210,56,240,240,270,76,300,199,,
Centre:,260501,SURAJMULL,JAIN,D.A.V.,PUBLIC,"SCHOOL,",TATA,ROAD,KHAPPARSAI,CHAIBASA,SINGHBHUM,WEST,"JHARKHAND,","CHAIBASA,",JHARKHAND,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,
301,122,331,569,361,69,391,21,421,253,451,82,481,386,511,529,541,102,,,,
302,353,332,266,362,105,392,499,422,86,452,230,482,132,512,63,542,152,,,,
303,82,333,109,363,34,393,468,423,55,453,60,483,211,513,244,543,125,,,,
304,81,334,550,364,59,394,23,424,109,454,80,484,228,514,147,544,47,,,,
305,80,335,138,365,153,395,98,425,200,455,31,485,236,515,339,545,251,,,,
306,95,336,84,366,456,396,164,426,233,456,26,486,40,516,367,546,109,,,,
307,55,337,235,367,31,397,80,427,191,457,124,487,55,517,45,,,,,,
308,180,338,427,368,10,398,331,428,210,458,70,488,48,518,404,,,,,,
309,317,339,57,369,214,399,240,429,220,459,225,489,300,519,434,,,,,,
310,114,340,258,370,120,400,550,430,146,460,105,490,7,520,247,,,,,,
311,400,341,167,371,41,401,235,431,126,461,62,491,58,521,495,,,,,,
312,203,342,241,372,371,402,98,432,55,462,126,492,173,522,65,,,,,,
313,117,343,95,373,160,403,146,433,428,463,90,493,288,523,73,,,,,,
314,186,344,82,374,448,404,265,434,70,464,362,494,55,524,1,,,,,,
315,101,345,109,375,131,405,413,435,221,465,70,495,10,525,355,,,,,,
316,85,346,117,376,120,406,80,436,257,466,325,496,187,526,70,,,,,,
317,132,347,61,377,100,407,67,437,226,467,55,497,158,527,-14,,,,,,
318,90,348,130,378,35,408,246,438,174,468,212,498,98,528,37,,,,,,
319,55,349,98,379,96,409,312,439,100,469,158,499,30,529,245,,,,,,
320,444,350,21,380,196,410,40,440,144,470,67,500,144,530,14,,,,,,
321,102,351,259,381,142,411,113,441,130,471,201,501,181,531,412,,,,,,
322,511,352,162,382,106,412,50,442,56,472,416,502,396,532,-5,,,,,,
323,151,353,169,383,95,413,329,443,15,473,41,503,340,533,195,,,,,,
324,199,354,249,384,77,414,194,444,658,474,110,504,103,534,108,,,,,,
325,158,355,40,385,187,415,144,445,-8,475,42,505,55,535,189,,,,,,
326,356,356,106,386,40,416,252,446,247,476,227,506,30,536,279,,,,,,
327,55,357,182,387,11,417,194,447,38,477,202,507,283,537,84,,,,,,
328,223,358,175,388,58,418,66,448,97,478,102,508,55,538,581,,,,,,
329,103,359,71,389,22,419,100,449,495,479,100,509,182,539,465,,,,,,
330,229,360,116,390,284,420,10,450,145,480,70,510,351,540,118,,,,,,
