0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,116,31,125,61,80,91,92,121,236,151,400,181,235
2,261,32,226,62,46,92,169,122,180,152,50,182,280
3,65,33,80,63,320,93,30,123,200,153,118,183,75
4,290,34,80,64,597,94,210,124,143,154,327,184,100
5,200,35,368,65,298,95,90,125,118,155,149,185,35
6,201,36,248,66,112,96,218,126,160,156,313,186,108
7,496,37,55,67,79,97,116,127,220,157,197,187,55
8,83,38,206,68,582,98,62,128,92,158,244,,
9,112,39,487,69,131,99,700,129,240,159,112,,
10,90,40,60,70,75,100,138,130,228,160,655,,
11,65,41,166,71,163,101,17,131,190,161,78,,
12,124,42,162,72,47,102,121,132,105,162,111,,
13,57,43,165,73,195,103,320,133,25,163,73,,
14,283,44,166,74,160,104,147,134,201,164,122,,
15,78,45,111,75,469,105,105,135,122,165,133,,
16,138,46,230,76,70,106,359,136,277,166,276,,
17,212,47,51,77,297,107,508,137,351,167,222,,
18,248,48,550,78,231,108,133,138,600,168,80,,
19,606,49,534,79,146,109,106,139,180,169,175,,
20,644,50,376,80,204,110,128,140,105,170,59,,
21,470,51,66,81,117,111,204,141,457,171,170,,
22,160,52,456,82,611,112,189,142,132,172,81,,
23,224,53,455,83,220,113,134,143,56,173,47,,
24,75,54,157,84,185,114,145,144,393,174,237,,
25,210,55,622,85,259,115,306,145,21,175,237,,
26,431,56,106,86,215,116,511,146,190,176,155,,
27,127,57,484,87,606,117,52,147,545,177,105,,
28,183,58,137,88,243,118,124,148,120,178,402,,
29,118,59,61,89,218,119,645,149,191,179,252,,
30,120,60,216,90,520,120,351,150,232,180,117,,
