0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
18,568,48,185,78,273,108,134,138,274,168,186,198,225,228,140,258,250,288,238,,,,,,,,,,,,,
19,25,49,548,79,339,109,309,139,535,169,127,199,185,229,151,259,66,289,309,,,,,,,,,,,,,
20,157,50,155,80,320,110,628,140,164,170,61,200,227,230,519,260,177,290,111,,,,,,,,,,,,,
21,115,51,180,81,30,111,268,141,96,171,100,201,406,231,65,261,217,291,79,,,,,,,,,,,,,
22,58,52,27,82,268,112,469,142,349,172,157,202,217,232,216,262,201,292,294,,,,,,,,,,,,,
23,250,53,125,83,501,113,140,143,139,173,292,203,570,233,80,263,351,293,231,,,,,,,,,,,,,
24,256,54,258,84,479,114,50,144,442,174,273,204,105,234,618,264,309,294,657,,,,,,,,,,,,,
25,304,55,229,85,558,115,625,145,161,175,156,205,57,235,611,265,218,295,65,,,,,,,,,,,,,
26,63,56,267,86,639,116,-15,146,431,176,94,206,81,236,289,266,306,296,269,,,,,,,,,,,,,
27,213,57,102,87,101,117,534,147,86,177,567,207,403,237,551,267,168,297,241,,,,,,,,,,,,,
28,695,58,155,88,264,118,195,148,95,178,250,208,65,238,368,268,27,298,73,,,,,,,,,,,,,
29,170,59,573,89,446,119,323,149,230,179,126,209,110,239,108,269,63,299,230,,,,,,,,,,,,,
30,127,60,9,90,151,120,166,150,233,180,139,210,299,240,314,270,557,300,63,,,,,,,,,,,,,
Centre:,440409,DAV,PUB,SCH,RAJENDER,NGR,SAHIBABAD,GHAZIABAD,"UP,",D,A,V,PUBLIC,SCHOOL,SECTOR,II,T,H,A,RAJINDER,NAGAR,P,O,SAHIBABAD,GHAZIABAD,UTTAR,NEET,(UG),2024,Page,No.,2
"PRADESH,","GHAZIABAD,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,,,,
301,241,331,206,361,662,391,316,421,111,451,268,,,,,,,,,,,,,,,,,,,,,
302,475,332,249,362,317,392,191,422,642,452,193,,,,,,,,,,,,,,,,,,,,,
303,245,333,110,363,221,393,504,423,150,453,64,,,,,,,,,,,,,,,,,,,,,
304,453,334,93,364,119,394,239,424,151,454,136,,,,,,,,,,,,,,,,,,,,,
305,100,335,162,365,178,395,192,425,56,455,50,,,,,,,,,,,,,,,,,,,,,
306,185,336,409,366,65,396,111,426,110,456,529,,,,,,,,,,,,,,,,,,,,,
307,434,337,188,367,307,397,65,427,78,457,230,,,,,,,,,,,,,,,,,,,,,
308,119,338,209,368,12,398,297,428,130,458,267,,,,,,,,,,,,,,,,,,,,,
309,268,339,528,369,374,399,263,429,71,459,119,,,,,,,,,,,,,,,,,,,,,
310,576,340,396,370,366,400,301,430,284,460,126,,,,,,,,,,,,,,,,,,,,,
311,152,341,66,371,62,401,112,431,129,461,29,,,,,,,,,,,,,,,,,,,,,
312,212,342,192,372,85,402,168,432,132,462,378,,,,,,,,,,,,,,,,,,,,,
313,60,343,278,373,187,403,94,433,135,463,32,,,,,,,,,,,,,,,,,,,,,
314,111,344,626,374,594,404,53,434,126,464,247,,,,,,,,,,,,,,,,,,,,,
315,374,345,525,375,53,405,74,435,89,465,185,,,,,,,,,,,,,,,,,,,,,
316,98,346,319,376,55,406,37,436,120,466,173,,,,,,,,,,,,,,,,,,,,,
317,496,347,90,377,210,407,74,437,135,467,506,,,,,,,,,,,,,,,,,,,,,
318,110,348,75,378,89,408,392,438,142,468,71,,,,,,,,,,,,,,,,,,,,,
319,663,349,710,379,51,409,143,439,61,,,,,,,,,,,,,,,,,,,,,,,
320,91,350,497,380,401,410,70,440,690,,,,,,,,,,,,,,,,,,,,,,,
321,661,351,495,381,45,411,79,441,27,,,,,,,,,,,,,,,,,,,,,,,
322,301,352,162,382,616,412,100,442,175,,,,,,,,,,,,,,,,,,,,,,,
323,200,353,151,383,419,413,424,443,153,,,,,,,,,,,,,,,,,,,,,,,
324,299,354,155,384,60,414,284,444,44,,,,,,,,,,,,,,,,,,,,,,,
325,264,355,199,385,371,415,132,445,95,,,,,,,,,,,,,,,,,,,,,,,
326,104,356,235,386,144,416,152,446,287,,,,,,,,,,,,,,,,,,,,,,,
327,97,357,216,387,160,417,178,447,508,,,,,,,,,,,,,,,,,,,,,,,
328,50,358,342,388,180,418,685,448,166,,,,,,,,,,,,,,,,,,,,,,,
329,175,359,342,389,601,419,439,449,125,,,,,,,,,,,,,,,,,,,,,,,
330,54,360,53,390,340,420,136,450,548,,,,,,,,,,,,,,,,,,,,,,,
