0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,132,31,7,61,40,91,45
2,62,32,70,62,131,92,78
3,282,33,5,63,116,93,47
4,46,34,55,64,18,94,690
5,90,35,60,65,26,95,98
6,22,36,35,66,16,96,93
7,141,37,-4,67,232,97,60
8,96,38,21,68,56,98,95
9,72,39,36,69,477,99,27
10,287,40,65,70,90,100,61
11,105,41,50,71,11,101,42
12,70,42,87,72,105,102,73
13,39,43,50,73,44,103,25
14,25,44,77,74,34,104,98
15,90,45,113,75,65,105,94
16,185,46,242,76,42,106,93
17,137,47,60,77,35,107,120
18,20,48,49,78,50,108,678
19,71,49,67,79,28,109,57
20,67,50,35,80,103,,
21,69,51,82,81,35,,
22,240,52,71,82,45,,
23,7,53,-6,83,58,,
24,200,54,35,84,65,,
25,243,55,41,85,90,,
26,70,56,65,86,120,,
27,30,57,17,87,59,,
28,75,58,36,88,61,,
29,46,59,60,89,12,,
30,21,60,58,90,227,,
