0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
KERALA,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,23,31,375,61,23,91,106,121,227,151,244,181,105,211,135,241,67
2,114,32,218,62,118,92,164,122,137,152,509,182,62,212,254,242,564
3,169,33,130,63,219,93,179,123,243,153,117,183,1,213,569,243,625
4,382,34,210,64,141,94,96,124,266,154,85,184,572,214,145,244,270
5,295,35,198,65,131,95,252,125,278,155,171,185,428,215,118,,
6,114,36,148,66,104,96,38,126,150,156,142,186,163,216,128,,
7,675,37,348,67,104,97,597,127,128,157,108,187,47,217,570,,
8,102,38,109,68,134,98,35,128,53,158,212,188,57,218,61,,
9,384,39,50,69,170,99,117,129,229,159,334,189,178,219,73,,
10,172,40,473,70,168,100,387,130,417,160,444,190,168,220,170,,
11,275,41,456,71,145,101,627,131,218,161,130,191,174,221,80,,
12,173,42,89,72,213,102,335,132,158,162,346,192,257,222,566,,
13,509,43,112,73,224,103,108,133,194,163,76,193,73,223,437,,
14,266,44,135,74,110,104,135,134,33,164,167,194,114,224,340,,
15,177,45,606,75,74,105,459,135,645,165,309,195,159,225,172,,
16,244,46,120,76,176,106,105,136,630,166,462,196,116,226,192,,
17,221,47,220,77,139,107,200,137,77,167,94,197,466,227,138,,
18,422,48,373,78,165,108,45,138,565,168,562,198,113,228,234,,
19,243,49,28,79,315,109,507,139,90,169,310,199,475,229,408,,
20,186,50,63,80,200,110,521,140,150,170,48,200,540,230,130,,
21,281,51,478,81,158,111,436,141,291,171,378,201,174,231,122,,
22,537,52,196,82,114,112,410,142,144,172,80,202,77,232,107,,
23,85,53,170,83,201,113,204,143,255,173,382,203,196,233,-13,,
24,171,54,606,84,179,114,474,144,238,174,134,204,100,234,69,,
25,65,55,402,85,123,115,155,145,182,175,164,205,126,235,605,,
26,552,56,88,86,336,116,540,146,262,176,624,206,121,236,474,,
27,120,57,126,87,185,117,302,147,184,177,356,207,226,237,114,,
28,51,58,256,88,154,118,109,148,212,178,275,208,129,238,79,,
29,233,59,515,89,190,119,113,149,177,179,152,209,663,239,60,,
30,421,60,192,90,617,120,283,150,223,180,146,210,60,240,180,,
