0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,86,31,135,61,467,91,85,121,75,151,325,181,250,211,312,241,79,271,158
2,111,32,88,62,237,92,556,122,70,152,104,182,170,212,40,242,539,272,25
3,102,33,334,63,164,93,161,123,15,153,382,183,58,213,95,243,81,273,161
4,167,34,35,64,163,94,520,124,213,154,23,184,316,214,55,244,79,274,320
5,87,35,94,65,138,95,120,125,182,155,72,185,270,215,80,245,22,275,108
6,450,36,462,66,100,96,61,126,85,156,77,186,199,216,45,246,115,276,55
7,139,37,179,67,67,97,446,127,61,157,149,187,245,217,56,247,33,277,55
8,333,38,571,68,170,98,37,128,140,158,81,188,164,218,178,248,55,278,412
9,638,39,199,69,105,99,118,129,207,159,260,189,107,219,298,249,142,279,61
10,23,40,37,70,74,100,105,130,164,160,229,190,150,220,269,250,76,280,157
11,541,41,103,71,173,101,65,131,90,161,45,191,497,221,73,251,149,281,277
12,127,42,199,72,180,102,578,132,426,162,180,192,87,222,201,252,204,282,263
13,225,43,107,73,204,103,70,133,8,163,412,193,351,223,47,253,101,283,23
14,119,44,202,74,110,104,356,134,191,164,124,194,228,224,45,254,359,284,216
15,119,45,388,75,180,105,295,135,409,165,64,195,115,225,254,255,513,285,371
16,60,46,352,76,142,106,4,136,43,166,249,196,45,226,326,256,165,286,150
17,186,47,237,77,658,107,126,137,456,167,235,197,207,227,137,257,278,287,110
18,205,48,187,78,123,108,210,138,108,168,378,198,45,228,577,258,203,288,28
19,39,49,128,79,52,109,69,139,408,169,165,199,95,229,54,259,431,289,180
20,125,50,179,80,484,110,30,140,93,170,80,200,113,230,691,260,68,290,409
21,32,51,285,81,160,111,66,141,172,171,299,201,171,231,389,261,99,291,136
22,174,52,445,82,547,112,227,142,70,172,81,202,393,232,24,262,135,292,156
23,34,53,115,83,240,113,284,143,145,173,107,203,115,233,120,263,369,293,136
24,523,54,353,84,194,114,219,144,138,174,42,204,175,234,171,264,162,294,161
25,116,55,130,85,425,115,243,145,73,175,174,205,199,235,193,265,357,295,245
26,520,56,547,86,401,116,149,146,524,176,42,206,127,236,189,266,107,296,74
27,54,57,547,87,108,117,331,147,150,177,92,207,75,237,63,267,85,297,154
28,362,58,142,88,279,118,102,148,331,178,95,208,18,238,198,268,111,298,258
29,108,59,79,89,298,119,141,149,66,179,258,209,93,239,312,269,45,299,303
30,62,60,135,90,157,120,34,150,57,180,120,210,155,240,158,270,227,300,20
Centre:,272306,JSS,PU,"COLLEGE,",JSS,PU,COLLLEGE,KOLAR,ROAD,"MALUR-563130,","KOLAR,",KARNATAKA,NEET,(UG),2024,Page,No.,2,
Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,
301,612,331,287,,,,,,,,,,,,,,,,
302,51,332,441,,,,,,,,,,,,,,,,
303,146,333,109,,,,,,,,,,,,,,,,
304,110,334,81,,,,,,,,,,,,,,,,
305,78,335,374,,,,,,,,,,,,,,,,
306,84,336,323,,,,,,,,,,,,,,,,
307,65,337,41,,,,,,,,,,,,,,,,
308,480,338,116,,,,,,,,,,,,,,,,
309,124,339,165,,,,,,,,,,,,,,,,
310,218,340,70,,,,,,,,,,,,,,,,
311,85,341,271,,,,,,,,,,,,,,,,
312,85,342,51,,,,,,,,,,,,,,,,
313,151,343,25,,,,,,,,,,,,,,,,
314,30,344,122,,,,,,,,,,,,,,,,
315,79,345,603,,,,,,,,,,,,,,,,
316,591,346,125,,,,,,,,,,,,,,,,
317,109,347,150,,,,,,,,,,,,,,,,
318,186,348,523,,,,,,,,,,,,,,,,
319,277,,,,,,,,,,,,,,,,,,
320,28,,,,,,,,,,,,,,,,,,
321,13,,,,,,,,,,,,,,,,,,
322,263,,,,,,,,,,,,,,,,,,
323,40,,,,,,,,,,,,,,,,,,
324,34,,,,,,,,,,,,,,,,,,
325,188,,,,,,,,,,,,,,,,,,
326,304,,,,,,,,,,,,,,,,,,
327,49,,,,,,,,,,,,,,,,,,
328,33,,,,,,,,,,,,,,,,,,
329,205,,,,,,,,,,,,,,,,,,
330,54,,,,,,,,,,,,,,,,,,
