0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,245,31,70,61,578,91,75,121,523,151,610,181,66,211,203,241,190
2,121,32,267,62,25,92,246,122,368,152,218,182,188,212,91,242,120
3,167,33,45,63,101,93,130,123,384,153,195,183,469,213,282,243,146
4,259,34,185,64,567,94,102,124,67,154,50,184,75,214,93,244,173
5,205,35,159,65,45,95,73,125,139,155,170,185,148,215,670,245,59
6,260,36,493,66,165,96,130,126,234,156,113,186,212,216,89,246,236
7,148,37,90,67,169,97,485,127,168,157,359,187,189,217,173,247,117
8,463,38,145,68,235,98,130,128,162,158,127,188,565,218,141,248,88
9,479,39,196,69,171,99,174,129,92,159,191,189,156,219,120,249,24
10,125,40,563,70,280,100,103,130,105,160,173,190,601,220,588,250,39
11,249,41,631,71,288,101,76,131,435,161,182,191,90,221,401,,
12,310,42,354,72,638,102,80,132,434,162,107,192,252,222,95,,
13,160,43,449,73,315,103,400,133,153,163,113,193,264,223,409,,
14,70,44,431,74,175,104,569,134,135,164,97,194,125,224,219,,
15,36,45,274,75,690,105,126,135,60,165,330,195,153,225,421,,
16,35,46,253,76,106,106,222,136,253,166,622,196,193,226,159,,
17,234,47,243,77,609,107,137,137,335,167,158,197,130,227,96,,
18,55,48,261,78,151,108,193,138,59,168,119,198,98,228,184,,
19,160,49,82,79,149,109,491,139,446,169,151,199,223,229,322,,
20,53,50,197,80,162,110,319,140,130,170,334,200,454,230,103,,
21,91,51,193,81,221,111,207,141,178,171,391,201,349,231,307,,
22,378,52,643,82,49,112,216,142,275,172,22,202,610,232,116,,
23,371,53,193,83,169,113,328,143,142,173,192,203,324,233,135,,
24,156,54,275,84,639,114,237,144,255,174,343,204,170,234,112,,
25,162,55,58,85,213,115,206,145,93,175,165,205,239,235,227,,
26,149,56,645,86,125,116,226,146,482,176,215,206,196,236,346,,
27,176,57,177,87,93,117,144,147,497,177,45,207,25,237,610,,
28,662,58,80,88,85,118,296,148,159,178,121,208,76,238,74,,
29,125,59,186,89,170,119,47,149,169,179,394,209,91,239,85,,
30,584,60,112,90,483,120,227,150,560,180,461,210,140,240,64,,
