0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,
1,120,31,304,61,416,91,280,121,164,151,134,181,119,211,104,241,15,271,184,,,,,,,,,,,
2,370,32,193,62,41,92,241,122,100,152,118,182,205,212,280,242,54,272,403,,,,,,,,,,,
3,239,33,242,63,235,93,106,123,71,153,139,183,111,213,239,243,172,273,390,,,,,,,,,,,
4,329,34,53,64,281,94,224,124,121,154,130,184,45,214,291,244,120,274,83,,,,,,,,,,,
5,181,35,193,65,154,95,538,125,42,155,304,185,135,215,265,245,161,275,529,,,,,,,,,,,
6,233,36,650,66,318,96,146,126,100,156,120,186,101,216,143,246,379,276,100,,,,,,,,,,,
7,10,37,538,67,120,97,622,127,209,157,155,187,607,217,56,247,68,277,130,,,,,,,,,,,
8,47,38,77,68,597,98,19,128,104,158,354,188,187,218,213,248,515,278,204,,,,,,,,,,,
9,570,39,425,69,256,99,338,129,150,159,260,189,31,219,574,249,95,279,355,,,,,,,,,,,
10,167,40,622,70,170,100,85,130,197,160,212,190,-5,220,382,250,144,280,261,,,,,,,,,,,
11,110,41,243,71,219,101,208,131,152,161,67,191,317,221,327,251,178,281,78,,,,,,,,,,,
12,262,42,422,72,404,102,270,132,127,162,133,192,94,222,201,252,155,282,247,,,,,,,,,,,
13,417,43,393,73,312,103,395,133,288,163,59,193,407,223,345,253,57,283,356,,,,,,,,,,,
14,391,44,288,74,298,104,71,134,109,164,477,194,9,224,40,254,602,284,280,,,,,,,,,,,
15,314,45,509,75,112,105,25,135,188,165,189,195,110,225,56,255,184,285,281,,,,,,,,,,,
16,119,46,257,76,156,106,392,136,490,166,196,196,195,226,173,256,317,286,407,,,,,,,,,,,
17,106,47,101,77,394,107,182,137,344,167,187,197,180,227,554,257,33,287,571,,,,,,,,,,,
18,152,48,273,78,109,108,163,138,226,168,127,198,338,228,146,258,413,288,125,,,,,,,,,,,
19,306,49,318,79,661,109,542,139,467,169,170,199,175,229,274,259,471,289,80,,,,,,,,,,,
20,30,50,120,80,170,110,116,140,74,170,224,200,100,230,72,260,113,290,52,,,,,,,,,,,
21,68,51,155,81,210,111,273,141,100,171,107,201,322,231,354,261,72,291,37,,,,,,,,,,,
