0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,280,31,91,61,130,91,181,121,175,151,86,181,251
2,142,32,298,62,52,92,91,122,120,152,166,182,209
3,115,33,79,63,247,93,125,123,192,153,218,183,77
4,198,34,205,64,269,94,107,124,89,154,15,184,180
5,34,35,89,65,253,95,61,125,116,155,74,185,223
6,236,36,83,66,167,96,139,126,380,156,109,,
7,17,37,154,67,51,97,50,127,231,157,150,,
8,52,38,186,68,497,98,68,128,266,158,117,,
9,302,39,203,69,114,99,22,129,-7,159,99,,
10,438,40,31,70,136,100,40,130,138,160,104,,
11,115,41,51,71,120,101,152,131,260,161,39,,
12,66,42,236,72,20,102,401,132,70,162,121,,
13,192,43,65,73,105,103,62,133,105,163,150,,
14,44,44,-6,74,178,104,77,134,0,164,17,,
15,105,45,8,75,60,105,85,135,-8,165,110,,
16,74,46,80,76,33,106,46,136,108,166,209,,
17,249,47,146,77,300,107,141,137,224,167,304,,
18,631,48,98,78,312,108,30,138,94,168,383,,
19,102,49,63,79,338,109,180,139,135,169,78,,
20,54,50,42,80,33,110,205,140,46,170,107,,
21,140,51,82,81,111,111,212,141,92,171,156,,
22,24,52,75,82,70,112,301,142,67,172,44,,
23,396,53,96,83,244,113,150,143,294,173,129,,
24,390,54,80,84,85,114,596,144,236,174,150,,
25,54,55,107,85,268,115,104,145,123,175,90,,
26,164,56,113,86,55,116,72,146,91,176,112,,
27,65,57,200,87,144,117,140,147,104,177,145,,
28,43,58,72,88,25,118,65,148,65,178,75,,
29,123,59,87,89,184,119,159,149,50,179,42,,
30,193,60,211,90,79,120,127,150,142,180,110,,
