0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,281,31,284,61,276,91,208
2,68,32,258,62,110,92,149
3,78,33,277,63,190,93,348
4,47,34,173,64,5,94,70
5,28,35,276,65,248,95,233
6,237,36,169,66,425,,
7,59,37,317,67,467,,
8,82,38,116,68,205,,
9,84,39,544,69,125,,
10,148,40,148,70,45,,
11,161,41,90,71,185,,
12,305,42,468,72,245,,
13,423,43,120,73,205,,
14,156,44,46,74,77,,
15,358,45,102,75,229,,
16,76,46,143,76,557,,
17,75,47,185,77,57,,
18,105,48,69,78,213,,
19,126,49,96,79,217,,
20,23,50,105,80,397,,
21,75,51,553,81,507,,
22,452,52,295,82,87,,
23,105,53,472,83,131,,
24,445,54,391,84,456,,
25,199,55,77,85,52,,
26,324,56,328,86,85,,
27,-7,57,80,87,75,,
28,116,58,76,88,42,,
29,251,59,361,89,209,,
30,149,60,14,90,57,,
