0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,135,31,90,61,166,91,256,121,380,151,74,181,229,211,231,241,105,271,15
2,190,32,90,62,192,92,155,122,80,152,560,182,165,212,216,242,199,272,80
3,222,33,235,63,303,93,116,123,105,153,185,183,177,213,69,243,665,273,112
4,50,34,190,64,126,94,108,124,228,154,205,184,266,214,155,244,90,274,138
5,228,35,160,65,70,95,333,125,221,155,399,185,96,215,535,245,81,275,522
6,556,36,153,66,160,96,-5,126,290,156,185,186,125,216,273,246,619,276,90
7,194,37,47,67,104,97,374,127,184,157,121,187,238,217,121,247,310,277,153
8,538,38,144,68,186,98,616,128,390,158,98,188,152,218,140,248,330,278,116
9,130,39,100,69,148,99,93,129,197,159,203,189,179,219,245,249,304,279,101
10,60,40,190,70,90,100,50,130,182,160,103,190,649,220,473,250,60,280,170
11,108,41,145,71,210,101,393,131,536,161,472,191,45,221,97,251,241,281,104
12,112,42,76,72,147,102,154,132,151,162,75,192,312,222,118,252,380,282,25
13,158,43,76,73,305,103,135,133,280,163,184,193,114,223,51,253,262,283,46
14,115,44,527,74,200,104,146,134,130,164,317,194,194,224,149,254,271,284,220
15,66,45,101,75,441,105,120,135,55,165,497,195,185,225,544,255,224,285,68
16,48,46,104,76,205,106,564,136,97,166,650,196,195,226,332,256,136,286,192
17,50,47,55,77,105,107,191,137,70,167,485,197,268,227,100,257,81,287,169
18,116,48,559,78,58,108,220,138,380,168,339,198,152,228,175,258,50,288,457
19,114,49,52,79,408,109,91,139,227,169,250,199,215,229,130,259,87,289,250
20,349,50,109,80,160,110,157,140,128,170,128,200,95,230,124,260,476,290,449
21,90,51,300,81,98,111,40,141,690,171,306,201,317,231,549,261,685,291,80
22,270,52,184,82,374,112,305,142,139,172,149,202,169,232,166,262,137,292,68
23,115,53,178,83,293,113,166,143,30,173,164,203,145,233,89,263,105,293,574
24,412,54,207,84,63,114,270,144,90,174,650,204,394,234,667,264,70,294,68
25,101,55,150,85,265,115,274,145,87,175,154,205,52,235,236,265,213,295,100
26,250,56,560,86,90,116,671,146,170,176,559,206,250,236,121,266,180,296,120
27,502,57,50,87,67,117,282,147,637,177,115,207,49,237,121,267,291,297,25
28,191,58,63,88,615,118,565,148,229,178,88,208,106,238,306,268,80,298,178
29,80,59,40,89,85,119,66,149,258,179,42,209,324,239,65,269,142,299,194
30,64,60,641,90,321,120,61,150,55,180,100,210,608,240,200,270,102,300,120
Centre:,280206,BHAVAN''S,VARUNA,"VIDYALAYA,","THRIKKAKARA,",NPOL,"THRIKKAKARA,",BMC,"POST,","KOCHI,","ANGAMALY,",KERALA,NEET,(UG),2024,Page,No.,2,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,
301,301,331,235,361,86,391,160,421,110,,,,,,,,,,
302,339,332,390,362,72,392,63,422,280,,,,,,,,,,
303,105,333,695,363,142,393,72,423,146,,,,,,,,,,
304,215,334,160,364,40,394,70,424,502,,,,,,,,,,
305,254,335,146,365,289,395,259,425,124,,,,,,,,,,
306,467,336,177,366,256,396,101,426,481,,,,,,,,,,
307,84,337,155,367,63,397,55,427,86,,,,,,,,,,
308,134,338,267,368,289,398,180,428,182,,,,,,,,,,
309,450,339,239,369,249,399,130,429,602,,,,,,,,,,
310,131,340,135,370,111,400,524,430,640,,,,,,,,,,
311,154,341,371,371,65,401,45,431,70,,,,,,,,,,
312,431,342,40,372,95,402,145,432,75,,,,,,,,,,
313,95,343,348,373,385,403,450,433,257,,,,,,,,,,
314,116,344,562,374,481,404,263,434,89,,,,,,,,,,
315,198,345,115,375,359,405,371,435,172,,,,,,,,,,
316,85,346,146,376,579,406,9,436,5,,,,,,,,,,
317,170,347,167,377,160,407,161,437,61,,,,,,,,,,
318,384,348,150,378,207,408,108,438,82,,,,,,,,,,
319,166,349,242,379,455,409,206,439,170,,,,,,,,,,
320,360,350,666,380,178,410,220,440,231,,,,,,,,,,
321,115,351,126,381,354,411,621,441,364,,,,,,,,,,
322,180,352,232,382,378,412,130,442,208,,,,,,,,,,
323,304,353,310,383,38,413,136,443,175,,,,,,,,,,
324,51,354,52,384,43,414,579,444,142,,,,,,,,,,
325,120,355,288,385,118,415,247,445,530,,,,,,,,,,
326,577,356,571,386,5,416,550,446,292,,,,,,,,,,
327,160,357,120,387,321,417,292,,,,,,,,,,,,
328,65,358,616,388,695,418,575,,,,,,,,,,,,
329,55,359,115,389,182,419,227,,,,,,,,,,,,
330,160,360,67,390,135,420,78,,,,,,,,,,,,
