0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,
1,419,31,245,61,198,91,125,121,153,151,347,181,124,211,335,241,210,271,82,,,,,,
2,363,32,65,62,41,92,214,122,11,152,317,182,350,212,84,242,175,272,631,,,,,,
3,113,33,192,63,227,93,147,123,48,153,189,183,119,213,226,243,41,273,72,,,,,,
4,342,34,155,64,155,94,87,124,525,154,136,184,84,214,149,244,385,274,253,,,,,,
5,191,35,183,65,198,95,179,125,148,155,447,185,553,215,26,245,0,275,72,,,,,,
6,68,36,57,66,92,96,85,126,433,156,89,186,25,216,357,246,125,276,49,,,,,,
7,373,37,277,67,61,97,110,127,200,157,197,187,469,217,180,247,617,277,538,,,,,,
8,133,38,454,68,242,98,616,128,166,158,414,188,197,218,209,248,247,278,550,,,,,,
9,265,39,158,69,16,99,385,129,576,159,600,189,582,219,249,249,288,279,580,,,,,,
10,87,40,127,70,538,100,135,130,552,160,206,190,81,220,358,250,81,280,119,,,,,,
11,454,41,324,71,245,101,277,131,194,161,199,191,38,221,403,251,98,281,159,,,,,,
12,326,42,398,72,207,102,252,132,99,162,88,192,358,222,279,252,619,282,42,,,,,,
13,87,43,174,73,75,103,269,133,397,163,631,193,418,223,105,253,556,283,275,,,,,,
14,322,44,381,74,124,104,79,134,159,164,360,194,485,224,244,254,182,284,87,,,,,,
15,187,45,170,75,104,105,54,135,643,165,164,195,407,225,246,255,427,285,580,,,,,,
16,216,46,116,76,641,106,238,136,356,166,135,196,62,226,160,256,422,286,214,,,,,,
17,159,47,100,77,81,107,363,137,49,167,283,197,105,227,443,257,604,287,274,,,,,,
18,273,48,130,78,67,108,102,138,275,168,550,198,166,228,154,258,630,288,300,,,,,,
19,40,49,269,79,105,109,481,139,308,169,222,199,168,229,245,259,152,289,545,,,,,,
20,266,50,659,80,144,110,596,140,280,170,367,200,55,230,144,260,157,290,95,,,,,,
21,54,51,61,81,377,111,132,141,94,171,576,201,85,231,336,261,107,291,128,,,,,,
22,359,52,149,82,127,112,485,142,97,172,163,202,185,232,213,262,232,292,382,,,,,,
23,188,53,271,83,490,113,219,143,287,173,86,203,401,233,76,263,175,293,140,,,,,,
24,223,54,113,84,443,114,352,144,433,174,255,204,576,234,339,264,208,294,97,,,,,,
